,ID,Anho,Mes,Descripcion,Total
0,200401,2004,1,Hombre,454
1,200401,2004,1,Mujer,189
2,200402,2004,2,Hombre,910
3,200402,2004,2,Mujer,491
4,200403,2004,3,Hombre,1838
5,200403,2004,3,Mujer,1267
6,200404,2004,4,Hombre,8437
7,200404,2004,4,Mujer,7117
8,200405,2004,5,Hombre,9778
9,200405,2004,5,Mujer,7082
10,200406,2004,6,Hombre,11223
11,200406,2004,6,Mujer,8072
12,200407,2004,7,Hombre,17096
13,200407,2004,7,Mujer,14795
14,200408,2004,8,Hombre,25014
15,200408,2004,8,Mujer,20587
16,200409,2004,9,Hombre,12737
17,200409,2004,9,Mujer,10015
18,200410,2004,10,Hombre,8337
19,200410,2004,10,Mujer,6219
20,200411,2004,11,Hombre,2454
21,200411,2004,11,Mujer,1956
22,200412,2004,12,Hombre,2105
23,200412,2004,12,Mujer,1697
24,200501,2005,1,Hombre,196
25,200501,2005,1,Mujer,73
26,200502,2005,2,Hombre,333
27,200502,2005,2,Mujer,232
28,200503,2005,3,Hombre,1875
29,200503,2005,3,Mujer,1246
30,200504,2005,4,Hombre,1944
31,200504,2005,4,Mujer,1363
32,200505,2005,5,Hombre,5635
33,200505,2005,5,Mujer,3675
34,200506,2005,6,Hombre,7859
35,200506,2005,6,Mujer,4760
36,200507,2005,7,Hombre,10677
37,200507,2005,7,Mujer,8127
38,200508,2005,8,Hombre,14468
39,200508,2005,8,Mujer,10363
40,200509,2005,9,Hombre,7155
41,200509,2005,9,Mujer,5013
42,200510,2005,10,Hombre,4142
43,200510,2005,10,Mujer,2731
44,200511,2005,11,Hombre,928
45,200511,2005,11,Mujer,460
46,200512,2005,12,Hombre,495
47,200512,2005,12,Mujer,173
48,200601,2006,1,Hombre,241
49,200601,2006,1,Mujer,83
50,200602,2006,2,Hombre,225
51,200602,2006,2,Mujer,126
52,200603,2006,3,Hombre,710
53,200603,2006,3,Mujer,386
54,200604,2006,4,Hombre,4333
55,200604,2006,4,Mujer,3118
56,200605,2006,5,Hombre,6212
57,200605,2006,5,Mujer,3935
58,200606,2006,6,Hombre,8037
59,200606,2006,6,Mujer,4974
60,200607,2006,7,Hombre,10513
61,200607,2006,7,Mujer,8207
62,200608,2006,8,Hombre,15373
63,200608,2006,8,Mujer,10810
64,200609,2006,9,Hombre,7819
65,200609,2006,9,Mujer,5651
66,200610,2006,10,Hombre,4602
67,200610,2006,10,Mujer,3098
68,200611,2006,11,Hombre,1167
69,200611,2006,11,Mujer,588
70,200612,2006,12,Hombre,605
71,200612,2006,12,Mujer,243
72,200701,2007,1,Hombre,252
73,200701,2007,1,Mujer,98
74,200702,2007,2,Hombre,418
75,200702,2007,2,Mujer,247
76,200703,2007,3,Hombre,1057
77,200703,2007,3,Mujer,623
78,200704,2007,4,Hombre,4690
79,200704,2007,4,Mujer,3425
80,200705,2007,5,Hombre,7725
81,200705,2007,5,Mujer,5199
82,200706,2007,6,Hombre,9110
83,200706,2007,6,Mujer,6072
84,200707,2007,7,Hombre,11295
85,200707,2007,7,Mujer,8861
86,200708,2007,8,Hombre,15912
87,200708,2007,8,Mujer,11377
88,200709,2007,9,Hombre,8802
89,200709,2007,9,Mujer,6480
90,200710,2007,10,Hombre,5633
91,200710,2007,10,Mujer,3810
92,200711,2007,11,Hombre,1537
93,200711,2007,11,Mujer,959
