,ID,Anho,Mes,Descripcion,Total
0,200401,2004,1,Amas de Casa,22
1,200401,2004,1,Empleados,64
2,200401,2004,1,Estudiantes,144
3,200401,2004,1,Funcionarios,34
4,200401,2004,1,Jubilados,50
5,200401,2004,1,Liberales,87
6,200401,2004,1,Obreros,94
7,200401,2004,1,Parados,23
8,200401,2004,1,Profesores,54
9,200401,2004,1,Resto,24
10,200401,2004,1,Tecnicos,47
11,200402,2004,2,Amas de Casa,45
12,200402,2004,2,Empleados,113
13,200402,2004,2,Estudiantes,486
14,200402,2004,2,Funcionarios,91
15,200402,2004,2,Jubilados,45
16,200402,2004,2,Liberales,185
17,200402,2004,2,Obreros,143
18,200402,2004,2,Parados,29
19,200402,2004,2,Profesores,82
20,200402,2004,2,Resto,49
21,200402,2004,2,Tecnicos,133
22,200403,2004,3,Amas de Casa,210
23,200403,2004,3,Empleados,358
24,200403,2004,3,Estudiantes,822
25,200403,2004,3,Funcionarios,251
26,200403,2004,3,Jubilados,157
27,200403,2004,3,Liberales,349
28,200403,2004,3,Obreros,376
29,200403,2004,3,Parados,81
30,200403,2004,3,Profesores,132
31,200403,2004,3,Resto,86
32,200403,2004,3,Tecnicos,283
33,200404,2004,4,Amas de Casa,833
34,200404,2004,4,Empleados,2097
35,200404,2004,4,Estudiantes,4552
36,200404,2004,4,Funcionarios,813
37,200404,2004,4,Jubilados,829
38,200404,2004,4,Liberales,1968
39,200404,2004,4,Obreros,1442
40,200404,2004,4,Parados,240
41,200404,2004,4,Profesores,1050
42,200404,2004,4,Resto,344
43,200404,2004,4,Tecnicos,1386
44,200405,2004,5,Amas de Casa,1334
45,200405,2004,5,Empleados,3626
46,200405,2004,5,Estudiantes,1196
47,200405,2004,5,Funcionarios,1220
48,200405,2004,5,Jubilados,2640
49,200405,2004,5,Liberales,2512
50,200405,2004,5,Obreros,1047
51,200405,2004,5,Parados,255
52,200405,2004,5,Profesores,598
53,200405,2004,5,Resto,492
54,200405,2004,5,Tecnicos,1940
55,200406,2004,6,Amas de Casa,1276
56,200406,2004,6,Empleados,3738
57,200406,2004,6,Estudiantes,2163
58,200406,2004,6,Funcionarios,1467
59,200406,2004,6,Jubilados,2486
60,200406,2004,6,Liberales,2700
61,200406,2004,6,Obreros,1371
62,200406,2004,6,Parados,329
63,200406,2004,6,Profesores,857
64,200406,2004,6,Resto,588
65,200406,2004,6,Tecnicos,2320
66,200407,2004,7,Amas de Casa,1443
67,200407,2004,7,Empleados,3855
68,200407,2004,7,Estudiantes,12030
69,200407,2004,7,Funcionarios,1729
70,200407,2004,7,Jubilados,1546
71,200407,2004,7,Liberales,2985
72,200407,2004,7,Obreros,1391
73,200407,2004,7,Parados,274
74,200407,2004,7,Profesores,3119
75,200407,2004,7,Resto,851
76,200407,2004,7,Tecnicos,2668
77,200408,2004,8,Amas de Casa,1754
78,200408,2004,8,Empleados,7109
79,200408,2004,8,Estudiantes,15568
80,200408,2004,8,Funcionarios,1581
81,200408,2004,8,Jubilados,963
82,200408,2004,8,Liberales,5320
83,200408,2004,8,Obreros,3219
84,200408,2004,8,Profesores,3909
85,200408,2004,8,Resto,1451
86,200408,2004,8,Sacerdotes,573
87,200408,2004,8,Tecnicos,4154
88,200409,2004,9,Amas de Casa,1241
89,200409,2004,9,Empleados,4270
90,200409,2004,9,Estudiantes,4841
91,200409,2004,9,Funcionarios,1410
92,200409,2004,9,Jubilados,2053
93,200409,2004,9,Liberales,2965
94,200409,2004,9,Obreros,1289
95,200409,2004,9,Parados,270
96,200409,2004,9,Profesores,934
97,200409,2004,9,Resto,765
98,200409,2004,9,Tecnicos,2714
99,200410,2004,10,Amas de Casa,922
100,200410,2004,10,Empleados,2491
101,200410,2004,10,Estudiantes,2372
102,200410,2004,10,Funcionarios,957
103,200410,2004,10,Jubilados,1530
104,200410,2004,10,Liberales,2325
105,200410,2004,10,Obreros,782
106,200410,2004,10,Parados,242
107,200410,2004,10,Profesores,615
108,200410,2004,10,Resto,463
109,200410,2004,10,Tecnicos,1857
110,200411,2004,11,Amas de Casa,374
111,200411,2004,11,Empleados,916
112,200411,2004,11,Estudiantes,386
113,200411,2004,11,Funcionarios,271
114,200411,2004,11,Jubilados,322
115,200411,2004,11,Liberales,724
116,200411,2004,11,Obreros,410
117,200411,2004,11,Parados,108
118,200411,2004,11,Profesores,222
119,200411,2004,11,Resto,186
120,200411,2004,11,Tecnicos,491
121,200412,2004,12,Amas de Casa,306
122,200412,2004,12,Empleados,655
123,200412,2004,12,Estudiantes,557
124,200412,2004,12,Funcionarios,221
125,200412,2004,12,Jubilados,179
126,200412,2004,12,Liberales,532
127,200412,2004,12,Obreros,457
128,200412,2004,12,Parados,69
129,200412,2004,12,Profesores,227
130,200412,2004,12,Resto,122
131,200412,2004,12,Tecnicos,477
132,200501,2005,1,Artistas,10
133,200501,2005,1,Empleados,38
134,200501,2005,1,Estudiantes,49
135,200501,2005,1,Funcionarios,13
136,200501,2005,1,Jubilados,14
137,200501,2005,1,Liberales,43
138,200501,2005,1,Obreros,28
139,200501,2005,1,Parados,11
140,200501,2005,1,Profesores,17
141,200501,2005,1,Resto,16
142,200501,2005,1,Tecnicos,30
143,200502,2005,2,Amas de Casa,46
144,200502,2005,2,Empleados,142
145,200502,2005,2,Estudiantes,157
146,200502,2005,2,Funcionarios,17
147,200502,2005,2,Jubilados,16
148,200502,2005,2,Liberales,58
149,200502,2005,2,Obreros,18
150,200502,2005,2,Parados,16
151,200502,2005,2,Profesores,33
152,200502,2005,2,Resto,22
153,200502,2005,2,Tecnicos,40
154,200503,2005,3,Amas de Casa,78
155,200503,2005,3,Empleados,351
156,200503,2005,3,Estudiantes,1300
157,200503,2005,3,Funcionarios,121
158,200503,2005,3,Jubilados,71
159,200503,2005,3,Liberales,323
160,200503,2005,3,Obreros,173
161,200503,2005,3,Parados,36
162,200503,2005,3,Profesores,266
163,200503,2005,3,Resto,82
164,200503,2005,3,Tecnicos,320
165,200504,2005,4,Amas de Casa,111
166,200504,2005,4,Empleados,505
167,200504,2005,4,Estudiantes,734
168,200504,2005,4,Funcionarios,163
169,200504,2005,4,Jubilados,437
170,200504,2005,4,Liberales,405
171,200504,2005,4,Obreros,151
172,200504,2005,4,Parados,61
173,200504,2005,4,Profesores,231
174,200504,2005,4,Resto,130
175,200504,2005,4,Tecnicos,379
176,200505,2005,5,Amas de Casa,392
177,200505,2005,5,Directivos,159
178,200505,2005,5,Empleados,1734
179,200505,2005,5,Estudiantes,611
180,200505,2005,5,Funcionarios,534
181,200505,2005,5,Jubilados,2130
182,200505,2005,5,Liberales,1207
183,200505,2005,5,Obreros,405
184,200505,2005,5,Profesores,383
185,200505,2005,5,Resto,352
186,200505,2005,5,Tecnicos,1403
187,200506,2005,6,Amas de Casa,565
188,200506,2005,6,Empleados,2198
189,200506,2005,6,Estudiantes,1151
190,200506,2005,6,Funcionarios,759
