IDX,ID,Anho,Mes,Descripcion,Total,Total_Previo,Total_Acumulado
0,200401,2004,1,Astorga,58,232,290
1,200401,2004,1,Cebreiro,240,494,734
2,200401,2004,1,León,46,152,198
3,200401,2004,1,Madrid - V.P.,34,0,34
4,200401,2004,1,Pamplona,30,122,152
5,200401,2004,1,Ponferrada,98,290,388
6,200401,2004,1,Resto,248,0,248
7,200401,2004,1,Roncesvalles,62,60,122
8,200401,2004,1,S. Jean P. Port,60,0,60
9,200401,2004,1,Sarria,304,734,1038
10,200401,2004,1,Vilafranca,106,388,494
11,200402,2004,2,Astorga,68,362,430
12,200402,2004,2,Cebreiro,334,588,922
13,200402,2004,2,Ferrol,68,0,68
14,200402,2004,2,León,116,246,362
15,200402,2004,2,Ponferrada,100,430,530
16,200402,2004,2,Resto,552,0,552
17,200402,2004,2,Roncesvalles,166,80,246
18,200402,2004,2,S. Jean P. Port,80,0,80
19,200402,2004,2,Sarria,1026,922,1948
20,200402,2004,2,Tui,234,0,234
21,200402,2004,2,Vilafranca,58,530,588
22,200403,2004,3,Astorga,254,864,1118
23,200403,2004,3,Cebreiro,1152,1536,2688
24,200403,2004,3,Ferrol,184,0,184
25,200403,2004,3,León,308,556,864
26,200403,2004,3,Ponferrada,290,1118,1408
27,200403,2004,3,Resto,1204,0,1204
28,200403,2004,3,Roncesvalles,436,120,556
29,200403,2004,3,S. Jean P. Port,120,0,120
30,200403,2004,3,Sarria,1484,2688,4172
31,200403,2004,3,Tui,650,0,650
32,200403,2004,3,Vilafranca,128,1408,1536
33,200404,2004,4,Astorga,1018,3560,4578
34,200404,2004,4,Cebreiro,4724,7164,11888
35,200404,2004,4,León,1210,2350,3560
36,200404,2004,4,Ourense,928,0,928
37,200404,2004,4,Ponferrada,1514,4578,6092
38,200404,2004,4,Resto,5666,0,5666
39,200404,2004,4,Roncesvalles,1566,784,2350
40,200404,2004,4,S. Jean P. Port,784,0,784
41,200404,2004,4,Sarria,9702,11888,21590
42,200404,2004,4,Tui,2924,0,2924
43,200404,2004,4,Vilafranca,1072,6092,7164
44,200405,2004,5,Astorga,1146,9608,10754
45,200405,2004,5,Burgos,830,6738,7568
46,200405,2004,5,Cebreiro,4080,12372,16452
47,200405,2004,5,León,2040,7568,9608
48,200405,2004,5,Pamplona,920,5818,6738
49,200405,2004,5,Ponferrada,1618,10754,12372
50,200405,2004,5,Resto,9454,0,9454
51,200405,2004,5,Roncesvalles,3096,2722,5818
52,200405,2004,5,S. Jean P. Port,2722,0,2722
53,200405,2004,5,Sarria,5658,16452,22110
54,200405,2004,5,Tui,2156,0,2156
55,200406,2004,6,Astorga,1462,10062,11524
56,200406,2004,6,Cebreiro,4932,14176,19108
57,200406,2004,6,León,1822,8240,10062
58,200406,2004,6,Pamplona,966,7274,8240
59,200406,2004,6,Ponferrada,1804,11524,13328
60,200406,2004,6,Resto,11516,0,11516
61,200406,2004,6,Roncesvalles,3896,3378,7274
62,200406,2004,6,S. Jean P. Port,3378,0,3378
63,200406,2004,6,Sarria,6628,19108,25736
64,200406,2004,6,Tui,1338,0,1338
65,200406,2004,6,Vilafranca,848,13328,14176
66,200407,2004,7,Astorga,3476,10218,13694
67,200407,2004,7,Cebreiro,7370,21278,28648
68,200407,2004,7,León,3634,6584,10218
69,200407,2004,7,Ponferrada,5336,13694,19030
70,200407,2004,7,Resto,17344,0,17344
71,200407,2004,7,Roncesvalles,4054,2530,6584
72,200407,2004,7,S. Jean P. Port,2530,0,2530
73,200407,2004,7,Sarria,12542,29716,42258
74,200407,2004,7,Triacastela,1068,28648,29716
75,200407,2004,7,Tui,4180,0,4180
76,200407,2004,7,Vilafranca,2248,19030,21278
77,200408,2004,8,Astorga,3120,13944,17064
78,200408,2004,8,Cebreiro,8028,22754,30782
79,200408,2004,8,León,4698,9246,13944
80,200408,2004,8,Ourense,6358,0,6358
81,200408,2004,8,Oviedo - C.P.,5290,0,5290
82,200408,2004,8,Ponferrada,5690,17064,22754
83,200408,2004,8,Resto,24802,0,24802
84,200408,2004,8,Roncesvalles,5960,3286,9246
85,200408,2004,8,S. Jean P. Port,3286,0,3286
86,200408,2004,8,Sarria,18940,30782,49722
87,200408,2004,8,Tui,5030,0,5030
88,200409,2004,9,Astorga,1954,9972,11926
89,200409,2004,9,Cebreiro,4630,15946,20576
90,200409,2004,9,León,2722,7250,9972
91,200409,2004,9,Pamplona,1102,6148,7250
92,200409,2004,9,Ponferrada,2924,11926,14850
93,200409,2004,9,Resto,11290,0,11290
94,200409,2004,9,Roncesvalles,3572,2576,6148
95,200409,2004,9,S. Jean P. Port,2576,0,2576
96,200409,2004,9,Sarria,11576,20576,32152
97,200409,2004,9,Tui,2062,0,2062
98,200409,2004,9,Vilafranca,1096,14850,15946
99,200410,2004,10,Astorga,950,6868,7818
100,200410,2004,10,Cebreiro,2894,9188,12082
101,200410,2004,10,Le Puy,672,0,672
102,200410,2004,10,León,1404,5464,6868
103,200410,2004,10,Ourense,816,0,816
104,200410,2004,10,Ponferrada,1370,7818,9188
105,200410,2004,10,Resto,7152,0,7152
106,200410,2004,10,Roncesvalles,2398,3066,5464
107,200410,2004,10,S. Jean P. Port,2394,672,3066
108,200410,2004,10,Sarria,7692,12082,19774
109,200410,2004,10,Tui,1370,0,1370
110,200411,2004,11,Astorga,244,1686,1930
111,200411,2004,11,Cebreiro,1532,2248,3780
112,200411,2004,11,Le Puy,196,0,196
113,200411,2004,11,León,302,1384,1686
114,200411,2004,11,Ponferrada,318,1930,2248
115,200411,2004,11,Resto,2432,0,2432
116,200411,2004,11,Roncesvalles,646,738,1384
117,200411,2004,11,S. Jean P. Port,542,196,738
118,200411,2004,11,Sarria,1966,3926,5892
119,200411,2004,11,Triacastela,146,3780,3926
120,200411,2004,11,Tui,496,0,496
121,200412,2004,12,Astorga,128,828,956
122,200412,2004,12,Cebreiro,1474,1178,2652
123,200412,2004,12,Ferrol,144,0,144
124,200412,2004,12,León,258,570,828
125,200412,2004,12,Oviedo - C.P.,144,0,144
126,200412,2004,12,Ponferrada,222,956,1178
127,200412,2004,12,Resto,1718,0,1718
128,200412,2004,12,Roncesvalles,362,208,570
129,200412,2004,12,S. Jean P. Port,208,0,208
130,200412,2004,12,Sarria,1964,2652,4616
131,200412,2004,12,Tui,982,0,982
132,200501,2005,1,Astorga,18,156,174
133,200501,2005,1,Burgos,18,82,100
134,200501,2005,1,Cebreiro,66,202,268
135,200501,2005,1,León,56,100,156
136,200501,2005,1,Pamplona,16,66,82
137,200501,2005,1,Ponferrada,28,174,202
138,200501,2005,1,Resto,160,0,160
139,200501,2005,1,Roncesvalles,22,44,66
140,200501,2005,1,S. Jean P. Port,44,0,44
141,200501,2005,1,Sarria,84,268,352
142,200501,2005,1,Tui,26,0,26
143,200502,2005,2,Braga,24,0,24
144,200502,2005,2,Burgos,36,106,142
145,200502,2005,2,Cebreiro,462,242,704
146,200502,2005,2,León,46,142,188
147,200502,2005,2,Pamplona,20,86,106
148,200502,2005,2,Ponferrada,54,188,242
149,200502,2005,2,Resto,180,0,180
150,200502,2005,2,Roncesvalles,42,44,86
151,200502,2005,2,S. Jean P. Port,44,0,44
152,200502,2005,2,Sarria,162,704,866
153,200502,2005,2,Tui,60,0,60
154,200503,2005,3,Astorga,278,598,876
155,200503,2005,3,Cebreiro,790,1356,2146
156,200503,2005,3,León,256,342,598
157,200503,2005,3,Lugo - C.P.,138,0,138
158,200503,2005,3,Ponferrada,296,876,1172
159,200503,2005,3,Resto,1492,0,1492
160,200503,2005,3,Roncesvalles,342,0,342
161,200503,2005,3,Sarria,2004,2146,4150
162,200503,2005,3,Tui,266,196,462
163,200503,2005,3,Valença do Minho,196,0,196
164,200503,2005,3,Vilafranca,184,1172,1356
165,200504,2005,4,Astorga,284,1462,1746
166,200504,2005,4,Cebreiro,510,2342,2852
167,200504,2005,4,León,458,1004,1462
168,200504,2005,4,Ponferrada,380,1746,2126
169,200504,2005,4,Resto,1956,0,1956
170,200504,2005,4,Roncesvalles,530,474,1004
171,200504,2005,4,S. Jean P. Port,474,0,474
172,200504,2005,4,Sarria,1212,2852,4064
173,200504,2005,4,Tui,292,302,594
174,200504,2005,4,Valença do Minho,302,0,302
175,200504,2005,4,Vilafranca,216,2126,2342
176,200505,2005,5,Astorga,622,8042,8664
177,200505,2005,5,Burgos,622,6064,6686
178,200505,2005,5,Cebreiro,1168,9690,10858
179,200505,2005,5,Le Puy,676,0,676
180,200505,2005,5,León,1356,6686,8042
181,200505,2005,5,Pamplona,1026,5038,6064
182,200505,2005,5,Ponferrada,1026,8664,9690
183,200505,2005,5,Resto,5664,0,5664
184,200505,2005,5,Roncesvalles,1694,3344,5038
185,200505,2005,5,S. Jean P. Port,2668,676,3344
186,200505,2005,5,Sarria,2098,10858,12956
187,200506,2005,6,Astorga,972,11668,12640
188,200506,2005,6,Cebreiro,1224,13796,15020
189,200506,2005,6,Francia - C.F.,788,0,788
190,200506,2005,6,Le Puy,1044,0,1044
191,200506,2005,6,León,1768,9900,11668
192,200506,2005,6,Pamplona,1266,8634,9900
193,200506,2005,6,Ponferrada,1156,12640,13796
194,200506,2005,6,Resto,7542,0,7542
195,200506,2005,6,Roncesvalles,2998,5636,8634
196,200506,2005,6,S. Jean P. Port,3804,1832,5636
197,200506,2005,6,Sarria,2676,15020,17696
198,200507,2005,7,Astorga,2482,10388,12870
199,200507,2005,7,Burgos,954,6882,7836
200,200507,2005,7,Cebreiro,3274,15588,18862
201,200507,2005,7,León,2552,7836,10388
202,200507,2005,7,Pamplona,1028,5854,6882
203,200507,2005,7,Ponferrada,2718,12870,15588
204,200507,2005,7,Resto,10976,0,10976
205,200507,2005,7,Roncesvalles,3128,2726,5854
206,200507,2005,7,S. Jean P. Port,2726,0,2726
207,200507,2005,7,Sarria,6674,18862,25536
208,200507,2005,7,Tui,1096,0,1096
209,200508,2005,8,Astorga,2288,14470,16758
210,200508,2005,8,Burgos,1396,9480,10876
211,200508,2005,8,Cebreiro,4244,22102,26346
212,200508,2005,8,León,3594,10876,14470
213,200508,2005,8,Ponferrada,3856,16758,20614
214,200508,2005,8,Resto,12820,0,12820
215,200508,2005,8,Roncesvalles,5412,4068,9480
216,200508,2005,8,S. Jean P. Port,4068,0,4068
217,200508,2005,8,Sarria,8858,26346,35204
218,200508,2005,8,Tui,1638,0,1638
219,200508,2005,8,Vilafranca,1488,20614,22102
220,200509,2005,9,Astorga,1164,9542,10706
221,200509,2005,9,Burgos,776,6674,7450
222,200509,2005,9,Cebreiro,2238,12220,14458
223,200509,2005,9,Le Puy,656,0,656
224,200509,2005,9,León,2092,7450,9542
225,200509,2005,9,Pamplona,912,5762,6674
226,200509,2005,9,Ponferrada,1514,10706,12220
227,200509,2005,9,Resto,6232,0,6232
228,200509,2005,9,Roncesvalles,2380,3382,5762
229,200509,2005,9,S. Jean P. Port,2726,656,3382
230,200509,2005,9,Sarria,3646,14458,18104
231,200510,2005,10,Astorga,378,6456,6834
232,200510,2005,10,Cebreiro,646,7636,8282
233,200510,2005,10,Francia - C.F.,406,0,406
234,200510,2005,10,Le Puy,626,0,626
235,200510,2005,10,León,976,5480,6456
236,200510,2005,10,Pamplona,568,4912,5480
237,200510,2005,10,Ponferrada,802,6834,7636
238,200510,2005,10,Resto,3598,0,3598
239,200510,2005,10,Roncesvalles,1494,3418,4912
240,200510,2005,10,S. Jean P. Port,2386,1032,3418
241,200510,2005,10,Sarria,1866,8282,10148
242,200511,2005,11,Astorga,86,1400,1486
243,200511,2005,11,Burgos,84,1188,1272
244,200511,2005,11,Cebreiro,154,1486,1640
245,200511,2005,11,Francia - C.F.,106,0,106
246,200511,2005,11,Le Puy,114,0,114
247,200511,2005,11,León,128,1272,1400
248,200511,2005,11,Pamplona,112,1076,1188
249,200511,2005,11,Resto,884,0,884
250,200511,2005,11,Roncesvalles,304,772,1076
251,200511,2005,11,S. Jean P. Port,552,220,772
252,200511,2005,11,Sarria,252,1640,1892
253,200512,2005,12,Cebreiro,98,350,448
254,200512,2005,12,Ferrol,78,0,78
255,200512,2005,12,Fonsagrada - C.P.,40,0,40
256,200512,2005,12,León,70,216,286
257,200512,2005,12,Ourense,40,0,40
258,200512,2005,12,Ponferrada,64,286,350
259,200512,2005,12,Resto,488,0,488
260,200512,2005,12,Roncesvalles,114,102,216
261,200512,2005,12,S. Jean P. Port,102,0,102
262,200512,2005,12,Sarria,188,448,636
263,200512,2005,12,Tui,54,0,54
264,200601,2006,1,Astorga,26,162,188
265,200601,2006,1,Burgos,26,86,112
266,200601,2006,1,Cebreiro,70,250,320
267,200601,2006,1,León,50,112,162
268,200601,2006,1,Ponferrada,34,188,222
269,200601,2006,1,Resto,204,0,204
270,200601,2006,1,Roncesvalles,58,28,86
271,200601,2006,1,S. Jean P. Port,28,0,28
272,200601,2006,1,Sarria,102,320,422
273,200601,2006,1,Valença do Minho,22,0,22
274,200601,2006,1,Vilafranca,28,222,250
275,200602,2006,2,Astorga,32,126,158
276,200602,2006,2,Burgos,20,82,102
277,200602,2006,2,Cebreiro,88,186,274
278,200602,2006,2,León,24,102,126
279,200602,2006,2,Ponferrada,28,158,186
280,200602,2006,2,Resto,158,0,158
281,200602,2006,2,Roncesvalles,54,28,82
282,200602,2006,2,S. Jean P. Port,28,0,28
283,200602,2006,2,Samos,18,0,18
284,200602,2006,2,Sarria,220,292,512
285,200602,2006,2,Valença do Minho,32,0,32
286,200603,2006,3,Astorga,72,488,560
287,200603,2006,3,Cebreiro,218,730,948
288,200603,2006,3,León,196,292,488
289,200603,2006,3,Pamplona,60,232,292
290,200603,2006,3,Ponferrada,100,560,660
291,200603,2006,3,Resto,572,0,572
292,200603,2006,3,Roncesvalles,112,120,232
293,200603,2006,3,S. Jean P. Port,120,0,120
294,200603,2006,3,Sarria,596,1024,1620
295,200603,2006,3,Triacastela,76,948,1024
296,200603,2006,3,Vilafranca,70,660,730
297,200604,2006,4,Astorga,432,2202,2634
298,200604,2006,4,Cebreiro,1158,3590,4748
299,200604,2006,4,León,698,1504,2202
300,200604,2006,4,Oporto,402,0,402
301,200604,2006,4,Ponferrada,956,2634,3590
302,200604,2006,4,Resto,4426,0,4426
303,200604,2006,4,Roncesvalles,858,646,1504
304,200604,2006,4,S. Jean P. Port,646,0,646
305,200604,2006,4,Sarria,4116,4748,8864
306,200604,2006,4,Tui,714,898,1612
307,200604,2006,4,Valença do Minho,496,402,898
308,200605,2006,5,Astorga,880,8818,9698
309,200605,2006,5,Burgos,706,6718,7424
310,200605,2006,5,Cebreiro,1032,10576,11608
311,200605,2006,5,Le Puy,914,0,914
312,200605,2006,5,León,1394,7424,8818
313,200605,2006,5,Pamplona,930,5788,6718
314,200605,2006,5,Ponferrada,878,9698,10576
315,200605,2006,5,Resto,6212,0,6212
316,200605,2006,5,Roncesvalles,1722,4066,5788
317,200605,2006,5,S. Jean P. Port,3152,914,4066
318,200605,2006,5,Sarria,2474,11608,14082
319,200606,2006,6,Astorga,926,12032,12958
320,200606,2006,6,Cebreiro,1334,14044,15378
321,200606,2006,6,Francia - C.F.,786,0,786
322,200606,2006,6,Le Puy,1156,0,1156
323,200606,2006,6,León,1748,10284,12032
324,200606,2006,6,Pamplona,1258,9026,10284
325,200606,2006,6,Ponferrada,1086,12958,14044
326,200606,2006,6,Resto,7896,0,7896
327,200606,2006,6,Roncesvalles,2822,6204,9026
328,200606,2006,6,S. Jean P. Port,4262,1942,6204
329,200606,2006,6,Sarria,2748,15378,18126
330,200607,2006,7,Astorga,2052,9330,11382
331,200607,2006,7,Burgos,872,5884,6756
332,200607,2006,7,Cebreiro,2674,14738,17412
333,200607,2006,7,León,2574,6756,9330
334,200607,2006,7,Ponferrada,2332,11382,13714
335,200607,2006,7,Resto,12888,0,12888
336,200607,2006,7,Roncesvalles,3146,2738,5884
337,200607,2006,7,S. Jean P. Port,2738,0,2738
338,200607,2006,7,Sarria,6140,17412,23552
339,200607,2006,7,Tui,1000,0,1000
340,200607,2006,7,Vilafranca,1024,13714,14738
341,200608,2006,8,Astorga,2170,16598,18768
342,200608,2006,8,Burgos,1446,11154,12600
343,200608,2006,8,Cebreiro,3970,23834,27804
344,200608,2006,8,León,3998,12600,16598
345,200608,2006,8,Pamplona,1450,9704,11154
346,200608,2006,8,Ponferrada,3762,18768,22530
347,200608,2006,8,Resto,15104,0,15104
348,200608,2006,8,Roncesvalles,5442,4262,9704
349,200608,2006,8,S. Jean P. Port,4262,0,4262
350,200608,2006,8,Sarria,9458,27804,37262
351,200608,2006,8,Vilafranca,1304,22530,23834
352,200609,2006,9,Astorga,1262,10674,11936
353,200609,2006,9,Burgos,1040,7550,8590
354,200609,2006,9,Cebreiro,1642,13590,15232
355,200609,2006,9,Le Puy,928,0,928
356,200609,2006,9,León,2084,8590,10674
357,200609,2006,9,Pamplona,1080,6470,7550
358,200609,2006,9,Ponferrada,1654,11936,13590
359,200609,2006,9,Resto,7652,0,7652
360,200609,2006,9,Roncesvalles,2418,4052,6470
361,200609,2006,9,S. Jean P. Port,3124,928,4052
362,200609,2006,9,Sarria,4056,15232,19288
363,200610,2006,10,Astorga,498,7120,7618
364,200610,2006,10,Cebreiro,716,8294,9010
365,200610,2006,10,Francia - C.F.,438,0,438
366,200610,2006,10,Le Puy,788,0,788
367,200610,2006,10,León,928,6192,7120
368,200610,2006,10,Pamplona,660,5532,6192
369,200610,2006,10,Ponferrada,676,7618,8294
370,200610,2006,10,Resto,4230,0,4230
371,200610,2006,10,Roncesvalles,1504,4028,5532
372,200610,2006,10,S. Jean P. Port,2802,1226,4028
373,200610,2006,10,Sarria,2160,9010,11170
374,200611,2006,11,Cebreiro,206,1692,1898
375,200611,2006,11,Le Puy,210,0,210
376,200611,2006,11,León,146,1370,1516
377,200611,2006,11,Pamplona,144,1120,1264
378,200611,2006,11,Ponferrada,176,1516,1692
379,200611,2006,11,Resto,1148,0,1148
380,200611,2006,11,Ribadeo,110,0,110
381,200611,2006,11,Roncesvalles,342,778,1120
382,200611,2006,11,S. Jean P. Port,568,210,778
383,200611,2006,11,Sarria,354,1898,2252
384,200611,2006,11,Somport,106,0,106
385,200612,2006,12,Astorga,52,496,548
386,200612,2006,12,Cebreiro,166,680,846
387,200612,2006,12,Le Puy,44,0,44
388,200612,2006,12,León,62,434,496
389,200612,2006,12,Ponferrada,88,548,636
390,200612,2006,12,Resto,456,0,456
391,200612,2006,12,Roncesvalles,246,188,434
392,200612,2006,12,S. Jean P. Port,144,44,188
393,200612,2006,12,Sarria,276,846,1122
394,200612,2006,12,Tui,118,0,118
395,200612,2006,12,Vilafranca,44,636,680
396,200701,2007,1,Astorga,38,230,268
397,200701,2007,1,Cebreiro,50,324,374
398,200701,2007,1,León,52,178,230
399,200701,2007,1,Oviedo - C.P.,16,0,16
400,200701,2007,1,Pamplona,28,150,178
401,200701,2007,1,Ponferrada,56,268,324
402,200701,2007,1,Resto,170,0,170
403,200701,2007,1,Roncesvalles,70,80,150
404,200701,2007,1,S. Jean P. Port,80,0,80
405,200701,2007,1,Sarria,124,374,498
406,200701,2007,1,Tui,16,0,16
407,200702,2007,2,Cebreiro,234,254,488
408,200702,2007,2,León,88,108,196
409,200702,2007,2,Ponferrada,58,196,254
410,200702,2007,2,Resto,306,0,306
411,200702,2007,2,Roncesvalles,58,50,108
412,200702,2007,2,S. Jean P. Port,50,0,50
413,200702,2007,2,Sarria,284,570,854
414,200702,2007,2,Triacastela,82,488,570
415,200702,2007,2,Tui,60,54,114
416,200702,2007,2,Valença do Minho,54,0,54
417,200702,2007,2,Vilalba,56,0,56
418,200703,2007,3,Burgos,92,480,572
419,200703,2007,3,Cebreiro,412,972,1384
420,200703,2007,3,León,258,572,830
421,200703,2007,3,Pamplona,100,380,480
422,200703,2007,3,Ponferrada,142,830,972
423,200703,2007,3,Resto,990,0,990
424,200703,2007,3,Roncesvalles,180,200,380
425,200703,2007,3,S. Jean P. Port,200,0,200
426,200703,2007,3,Samos,90,0,90
427,200703,2007,3,Sarria,720,1650,2370
428,200703,2007,3,Triacastela,176,1384,1560
429,200704,2007,4,Astorga,516,4046,4562
430,200704,2007,4,Cebreiro,1096,5346,6442
431,200704,2007,4,Le Puy,472,0,472
432,200704,2007,4,León,1022,3024,4046
433,200704,2007,4,Pamplona,458,2566,3024
434,200704,2007,4,Ponferrada,784,4562,5346
435,200704,2007,4,Resto,5454,0,5454
436,200704,2007,4,Roncesvalles,918,1648,2566
437,200704,2007,4,S. Jean P. Port,1176,472,1648
438,200704,2007,4,Sarria,3690,6442,10132
439,200704,2007,4,Tui,644,0,644
440,200705,2007,5,Astorga,980,11316,12296
441,200705,2007,5,Burgos,800,8664,9464
442,200705,2007,5,Cebreiro,1370,13178,14548
443,200705,2007,5,Le Puy,1152,0,1152
444,200705,2007,5,León,1852,9464,11316
445,200705,2007,5,Pamplona,1372,7292,8664
446,200705,2007,5,Ponferrada,882,12296,13178
447,200705,2007,5,Resto,7908,0,7908
448,200705,2007,5,Roncesvalles,2020,5272,7292
449,200705,2007,5,S. Jean P. Port,4120,1152,5272
450,200705,2007,5,Sarria,3392,14548,17940
451,200706,2007,6,Astorga,1026,13570,14596
452,200706,2007,6,Burgos,888,10684,11572
453,200706,2007,6,Cebreiro,1552,15784,17336
454,200706,2007,6,Le Puy,1122,0,1122
455,200706,2007,6,León,1998,11572,13570
456,200706,2007,6,Pamplona,1408,9276,10684
457,200706,2007,6,Ponferrada,1188,14596,15784
458,200706,2007,6,Resto,9314,0,9314
459,200706,2007,6,Roncesvalles,2670,6606,9276
460,200706,2007,6,S. Jean P. Port,5484,1122,6606
461,200706,2007,6,Sarria,3714,17336,21050
462,200707,2007,7,Astorga,2204,11000,13204
463,200707,2007,7,Burgos,1078,7452,8530
464,200707,2007,7,Cebreiro,2698,15712,18410
465,200707,2007,7,León,2470,8530,11000
466,200707,2007,7,Pamplona,990,6462,7452
467,200707,2007,7,Ponferrada,2508,13204,15712
468,200707,2007,7,Resto,14146,0,14146
469,200707,2007,7,Roncesvalles,2822,3640,6462
470,200707,2007,7,S. Jean P. Port,3640,0,3640
471,200707,2007,7,Sarria,6412,18410,24822
472,200707,2007,7,Tui,1344,0,1344
473,200708,2007,8,Astorga,1930,16596,18526
474,200708,2007,8,Burgos,1258,11332,12590
475,200708,2007,8,Cebreiro,4010,22262,26272
476,200708,2007,8,León,4006,12590,16596
477,200708,2007,8,Pamplona,1468,9864,11332
478,200708,2007,8,Ponferrada,3736,18526,22262
479,200708,2007,8,Resto,15986,0,15986
480,200708,2007,8,Roncesvalles,4898,4966,9864
481,200708,2007,8,S. Jean P. Port,4966,0,4966
482,200708,2007,8,Sarria,10668,26272,36940
483,200708,2007,8,Tui,1652,0,1652
484,200709,2007,9,Astorga,1402,11200,12602
485,200709,2007,9,Burgos,822,8118,8940
486,200709,2007,9,Cebreiro,1924,14374,16298
487,200709,2007,9,Le Puy,876,0,876
488,200709,2007,9,León,2260,8940,11200
489,200709,2007,9,Pamplona,1062,7056,8118
490,200709,2007,9,Ponferrada,1772,12602,14374
491,200709,2007,9,Resto,9080,0,9080
492,200709,2007,9,Roncesvalles,2308,4748,7056
493,200709,2007,9,S. Jean P. Port,3872,876,4748
494,200709,2007,9,Sarria,5186,16298,21484
495,200710,2007,10,Astorga,362,4129,4491
496,200710,2007,10,Cebreiro,513,4884,5397
497,200710,2007,10,Francia - C.F.,229,0,229
498,200710,2007,10,Le Puy,393,0,393
499,200710,2007,10,León,589,3540,4129
500,200710,2007,10,Pamplona,342,3198,3540
501,200710,2007,10,Ponferrada,393,4491,4884
502,200710,2007,10,Resto,2688,0,2688
503,200710,2007,10,Roncesvalles,772,2426,3198
504,200710,2007,10,S. Jean P. Port,1804,622,2426
505,200710,2007,10,Sarria,1358,5397,6755
506,200711,2007,11,Cebreiro,115,950,1065
507,200711,2007,11,Le Puy,92,0,92
508,200711,2007,11,León,87,774,861
509,200711,2007,11,Oporto,95,0,95
510,200711,2007,11,Oviedo - C.P.,73,0,73
511,200711,2007,11,Pamplona,77,697,774
512,200711,2007,11,Ponferrada,89,861,950
513,200711,2007,11,Resto,805,0,805
514,200711,2007,11,Roncesvalles,215,482,697
515,200711,2007,11,S. Jean P. Port,390,92,482
516,200711,2007,11,Sarria,458,1065,1523
517,200712,2007,12,Astorga,29,173,202
518,200712,2007,12,Cebreiro,92,253,345
519,200712,2007,12,León,34,139,173
520,200712,2007,12,Ponferrada,24,202,226
521,200712,2007,12,Resto,268,0,268
522,200712,2007,12,Ribadeo,30,0,30
523,200712,2007,12,Roncesvalles,62,77,139
524,200712,2007,12,S. Jean P. Port,77,0,77
525,200712,2007,12,Sarria,132,345,477
526,200712,2007,12,Tui,20,0,20
527,200712,2007,12,Vilafranca,27,226,253
528,200801,2008,1,Astorga,18,78,96
529,200801,2008,1,Burgos,12,48,60
530,200801,2008,1,Cebreiro,26,121,147
531,200801,2008,1,León,18,60,78
532,200801,2008,1,Oporto,11,0,11
533,200801,2008,1,Pamplona,10,38,48
534,200801,2008,1,Ponferrada,25,96,121
535,200801,2008,1,Resto,92,0,92
536,200801,2008,1,Roncesvalles,18,20,38
537,200801,2008,1,S. Jean P. Port,20,0,20
538,200801,2008,1,Sarria,56,147,203
539,200802,2008,2,Cebreiro,146,155,301
540,200802,2008,2,León,28,87,115
541,200802,2008,2,Ponferrada,25,115,140
542,200802,2008,2,Resto,163,0,163
543,200802,2008,2,Roncesvalles,37,50,87
544,200802,2008,2,S. Jean P. Port,50,0,50
545,200802,2008,2,Sarria,125,335,460
546,200802,2008,2,Triacastela,34,301,335
547,200802,2008,2,Tui,62,18,80
548,200802,2008,2,Valença do Minho,18,0,18
549,200802,2008,2,Vilafranca,15,140,155
550,200803,2008,3,Astorga,168,674,842
551,200803,2008,3,Cebreiro,460,1096,1556
552,200803,2008,3,León,194,480,674
553,200803,2008,3,Ourense,137,0,137
554,200803,2008,3,Ponferrada,254,842,1096
555,200803,2008,3,Resto,1688,0,1688
556,200803,2008,3,Roncesvalles,307,173,480
557,200803,2008,3,S. Jean P. Port,173,0,173
558,200803,2008,3,Sarria,1565,1556,3121
559,200803,2008,3,Tui,227,154,381
560,200803,2008,3,Valença do Minho,154,0,154
561,200804,2008,4,Astorga,182,1703,1885
562,200804,2008,4,Cebreiro,222,2097,2319
563,200804,2008,4,León,425,1117,1542
564,200804,2008,4,Oporto,283,0,283
565,200804,2008,4,Pamplona,218,899,1117
566,200804,2008,4,Ponferrada,212,1885,2097
567,200804,2008,4,Resto,1707,0,1707
568,200804,2008,4,Roncesvalles,342,557,899
569,200804,2008,4,S. Jean P. Port,557,0,557
570,200804,2008,4,Sarria,1339,2319,3658
571,200804,2008,4,Sevilla,161,0,161
572,200805,2008,5,Astorga,623,6130,6753
573,200805,2008,5,Cebreiro,669,7445,8114
574,200805,2008,5,Le Puy,506,0,506
575,200805,2008,5,León,1157,4973,6130
576,200805,2008,5,Oporto,557,0,557
577,200805,2008,5,Pamplona,747,4226,4973
578,200805,2008,5,Ponferrada,692,6753,7445
579,200805,2008,5,Resto,5174,0,5174
580,200805,2008,5,Roncesvalles,1080,3146,4226
581,200805,2008,5,S. Jean P. Port,2640,506,3146
582,200805,2008,5,Sarria,2156,8114,10270
583,200806,2008,6,Astorga,474,7416,7890
584,200806,2008,6,Burgos,435,5870,6305
585,200806,2008,6,Cebreiro,814,8477,9291
586,200806,2008,6,Le Puy,546,0,546
587,200806,2008,6,León,1111,6305,7416
588,200806,2008,6,Pamplona,794,5076,5870
589,200806,2008,6,Ponferrada,587,7890,8477
590,200806,2008,6,Resto,4767,0,4767
591,200806,2008,6,Roncesvalles,1451,3625,5076
592,200806,2008,6,S. Jean P. Port,3079,546,3625
