ID_Node,Origen,ID,Anho,Mes,Total,Total_Origen_Incoming,Total_Origin_Cumulative
0,Catedral Santiago de Compostela,200401,2004,1,0.0,643.0,643.0
1,Sarria,200401,2004,1,152.0,367.0,519.0
2,Tui,200401,2004,1,0.0,0.0,0.0
3,S. Jean P. Port,200401,2004,1,30.0,0.0,30.0
4,Ferrol,200401,2004,1,0.0,0.0,0.0
5,Oporto,200401,2004,1,0.0,0.0,0.0
6,Cebreiro,200401,2004,1,120.0,247.0,367.0
7,Ribadeo,200401,2004,1,0.0,0.0,0.0
8,Valença do Minho,200401,2004,1,0.0,0.0,0.0
9,Roncesvalles,200401,2004,1,31.0,30.0,61.0
10,Oviedo - C.P.,200401,2004,1,0.0,0.0,0.0
11,Vigo,200401,2004,1,0.0,0.0,0.0
12,Ponte de sa,200401,2004,1,0.0,0.0,0.0
13,Oporto Costa,200401,2004,1,0.0,0.0,0.0
14,Ourense,200401,2004,1,0.0,0.0,0.0
15,Lisboa,200401,2004,1,0.0,0.0,0.0
16,León,200401,2004,1,23.0,76.0,99.0
17,A Guarda,200401,2004,1,0.0,0.0,0.0
18,Corrubedo,200401,2004,1,0.0,0.0,0.0
19,Ponferrada,200401,2004,1,49.0,145.0,194.0
20,Le Puy,200401,2004,1,0.0,0.0,0.0
21,Lugo - C.P.,200401,2004,1,0.0,0.0,0.0
22,Baiona,200401,2004,1,0.0,0.0,0.0
23,Vilalba,200401,2004,1,0.0,0.0,0.0
24,Irún,200401,2004,1,0.0,0.0,0.0
25,Astorga,200401,2004,1,29.0,116.0,145.0
26,Porriño,200401,2004,1,0.0,0.0,0.0
27,Triacastela,200401,2004,1,0.0,367.0,367.0
28,Sevilla,200401,2004,1,0.0,0.0,0.0
29,Pamplona,200401,2004,1,15.0,61.0,76.0
30,Burgos,200401,2004,1,0.0,76.0,76.0
31,A Coruña,200401,2004,1,0.0,0.0,0.0
32,Alemania,200401,2004,1,0.0,0.0,0.0
33,Barcelona,200401,2004,1,0.0,0.0,0.0
34,Bélgica,200401,2004,1,0.0,0.0,0.0
35,Braga,200401,2004,1,0.0,0.0,0.0
36,Com. Valenciana - C.F.,200401,2004,1,0.0,0.0,0.0
37,Com. Valenciana - O.C.,200401,2004,1,0.0,0.0,0.0
38,Estella,200401,2004,1,0.0,76.0,76.0
39,Finisterra,200401,2004,1,0.0,0.0,0.0
40,Fonsagrada - C.P.,200401,2004,1,0.0,0.0,0.0
41,Francia - C.F.,200401,2004,1,0.0,0.0,0.0
42,Gijón,200401,2004,1,0.0,0.0,0.0
43,Gudiña,200401,2004,1,0.0,0.0,0.0
44,Laza,200401,2004,1,0.0,0.0,0.0
45,Logroño,200401,2004,1,0.0,76.0,76.0
46,Lourdes,200401,2004,1,0.0,0.0,0.0
47,Madrid - C.F.,200401,2004,1,0.0,0.0,0.0
48,Madrid - V.P.,200401,2004,1,17.0,0.0,17.0
49,Mérida,200401,2004,1,0.0,0.0,0.0
50,Mondoñedo,200401,2004,1,0.0,0.0,0.0
51,Monforte de Lemos,200401,2004,1,0.0,0.0,0.0
52,Montserrat,200401,2004,1,0.0,0.0,0.0
53,Muxia,200401,2004,1,0.0,0.0,0.0
54,Nájera,200401,2004,1,0.0,76.0,76.0
55,O Barco de Valdeorras,200401,2004,1,0.0,0.0,0.0
56,Ponferrada. C.Inv.,200401,2004,1,0.0,0.0,0.0
57,Ponte de Lima,200401,2004,1,0.0,0.0,0.0
58,Republica Checa,200401,2004,1,0.0,0.0,0.0
59,Resto,200401,2004,1,124.0,0.0,124.0
60,Resto Asturias - C.N,200401,2004,1,0.0,0.0,0.0
61,Resto C. León C.F.,200401,2004,1,0.0,0.0,0.0
62,Resto de Galicia,200401,2004,1,0.0,0.0,0.0
63,Resto de Portugal,200401,2004,1,0.0,0.0,0.0
64,Resto Galicia,200401,2004,1,0.0,0.0,0.0
65,Resto Portugal,200401,2004,1,0.0,0.0,0.0
66,Sahagún,200401,2004,1,0.0,76.0,76.0
67,Samos,200401,2004,1,0.0,0.0,0.0
68,San Sebastián,200401,2004,1,0.0,0.0,0.0
69,Santander,200401,2004,1,0.0,0.0,0.0
70,Somport,200401,2004,1,0.0,0.0,0.0
71,Vega de Valcarce,200401,2004,1,0.0,247.0,247.0
72,Verín,200401,2004,1,0.0,0.0,0.0
73,Vezelay,200401,2004,1,0.0,0.0,0.0
74,Viana do Castelo,200401,2004,1,0.0,0.0,0.0
75,Villafranca del Bierzo,200401,2004,1,53.0,194.0,247.0
0,Catedral Santiago de Compostela,200402,2004,2,0.0,1401.0,1401.0
1,Sarria,200402,2004,2,513.0,461.0,974.0
2,Tui,200402,2004,2,117.0,0.0,117.0
3,S. Jean P. Port,200402,2004,2,40.0,0.0,40.0
4,Ferrol,200402,2004,2,34.0,0.0,34.0
5,Oporto,200402,2004,2,0.0,0.0,0.0
6,Cebreiro,200402,2004,2,167.0,294.0,461.0
7,Ribadeo,200402,2004,2,0.0,0.0,0.0
8,Valença do Minho,200402,2004,2,0.0,0.0,0.0
9,Roncesvalles,200402,2004,2,83.0,40.0,123.0
10,Oviedo - C.P.,200402,2004,2,0.0,0.0,0.0
11,Vigo,200402,2004,2,0.0,0.0,0.0
12,Ponte de sa,200402,2004,2,0.0,0.0,0.0
13,Oporto Costa,200402,2004,2,0.0,0.0,0.0
14,Ourense,200402,2004,2,0.0,0.0,0.0
15,Lisboa,200402,2004,2,0.0,0.0,0.0
16,León,200402,2004,2,58.0,123.0,181.0
17,A Guarda,200402,2004,2,0.0,0.0,0.0
18,Corrubedo,200402,2004,2,0.0,0.0,0.0
19,Ponferrada,200402,2004,2,50.0,215.0,265.0
20,Le Puy,200402,2004,2,0.0,0.0,0.0
21,Lugo - C.P.,200402,2004,2,0.0,0.0,0.0
22,Baiona,200402,2004,2,0.0,0.0,0.0
