,ID,Anho,Mes,Descripcion,Total
0,200401,2004,1,Frances-Camino de,566
1,200401,2004,1,Ingles-Camino,5
2,200401,2004,1,Norte-Camino de,14
3,200401,2004,1,Portugues-Camino,16
4,200401,2004,1,Primitivo-Camino,17
5,200401,2004,1,Via de la Plata,25
6,200402,2004,2,Costa Camino Portugues  ,21
7,200402,2004,2,Frances-Camino de,1124
8,200402,2004,2,Ingles-Camino,34
9,200402,2004,2,Norte-Camino de,41
10,200402,2004,2,Otros caminos,4
11,200402,2004,2,Portugues-Camino,157
12,200402,2004,2,Via de la Plata,20
13,200403,2004,3,Costa Camino Portugues  ,43
14,200403,2004,3,Frances-Camino de,2349
15,200403,2004,3,Ingles-Camino,141
16,200403,2004,3,Norte-Camino de,103
17,200403,2004,3,Portugues-Camino,368
18,200403,2004,3,Primitivo-Camino,9
19,200403,2004,3,Via de la Plata,92
20,200404,2004,4,Costa Camino Portugues  ,142
21,200404,2004,4,Frances-Camino de,12024
22,200404,2004,4,Ingles-Camino,290
23,200404,2004,4,Norte-Camino de,256
24,200404,2004,4,Otros caminos,17
25,200404,2004,4,Portugues-Camino,1990
26,200404,2004,4,Primitivo-Camino,100
27,200404,2004,4,Via de la Plata,735
28,200405,2004,5,Costa Camino Portugues  ,162
29,200405,2004,5,Frances-Camino de,13485
30,200405,2004,5,Ingles-Camino,326
31,200405,2004,5,Muxia-Finisterre,1
32,200405,2004,5,Norte-Camino de,545
33,200405,2004,5,Otros caminos,18
34,200405,2004,5,Portugues-Camino,1499
35,200405,2004,5,Primitivo-Camino,120
36,200405,2004,5,Via de la Plata,704
37,200406,2004,6,Costa Camino Portugues  ,87
38,200406,2004,6,Frances-Camino de,15983
39,200406,2004,6,Ingles-Camino,258
40,200406,2004,6,Norte-Camino de,740
41,200406,2004,6,Otros caminos,15
42,200406,2004,6,Portugues-Camino,1094
43,200406,2004,6,Primitivo-Camino,315
44,200406,2004,6,Via de la Plata,803
45,200407,2004,7,Costa Camino Portugues  ,110
46,200407,2004,7,Frances-Camino de,24798
47,200407,2004,7,Ingles-Camino,364
48,200407,2004,7,Norte-Camino de,1891
49,200407,2004,7,Otros caminos,29
50,200407,2004,7,Portugues-Camino,2837
51,200407,2004,7,Primitivo-Camino,478
52,200407,2004,7,Via de la Plata,1384
53,200408,2004,8,Costa Camino Portugues  ,123
54,200408,2004,8,Frances-Camino de,31264
55,200408,2004,8,Ingles-Camino,1045
56,200408,2004,8,Muxia-Finisterre,247
57,200408,2004,8,Norte-Camino de,1962
58,200408,2004,8,Otros caminos,27
59,200408,2004,8,Portugues-Camino,3303
60,200408,2004,8,Primitivo-Camino,3800
61,200408,2004,8,Via de la Plata,3830
62,200409,2004,9,Costa Camino Portugues  ,50
63,200409,2004,9,Frances-Camino de,18919
64,200409,2004,9,Ingles-Camino,324
65,200409,2004,9,Muxia-Finisterre,10
66,200409,2004,9,Norte-Camino de,630
67,200409,2004,9,Otros caminos,22
68,200409,2004,9,Portugues-Camino,1717
69,200409,2004,9,Primitivo-Camino,303
70,200409,2004,9,Via de la Plata,777
71,200410,2004,10,Costa Camino Portugues  ,25
72,200410,2004,10,Frances-Camino de,11964
73,200410,2004,10,Ingles-Camino,107
74,200410,2004,10,Muxia-Finisterre,2
75,200410,2004,10,Norte-Camino de,436
76,200410,2004,10,Otros caminos,12
77,200410,2004,10,Portugues-Camino,1123
78,200410,2004,10,Primitivo-Camino,203
79,200410,2004,10,Via de la Plata,684
80,200411,2004,11,Costa Camino Portugues  ,27
81,200411,2004,11,Frances-Camino de,3512
82,200411,2004,11,Ingles-Camino,98
83,200411,2004,11,Muxia-Finisterre,8
84,200411,2004,11,Norte-Camino de,146
85,200411,2004,11,Portugues-Camino,352
86,200411,2004,11,Primitivo-Camino,87
87,200411,2004,11,Via de la Plata,180
88,200412,2004,12,Costa Camino Portugues  ,20
89,200412,2004,12,Frances-Camino de,2649
90,200412,2004,12,Ingles-Camino,100
91,200412,2004,12,Muxia-Finisterre,12
92,200412,2004,12,Norte-Camino de,206
93,200412,2004,12,Portugues-Camino,568
94,200412,2004,12,Primitivo-Camino,149
95,200412,2004,12,Via de la Plata,98
96,200501,2005,1,Frances-Camino de,226
97,200501,2005,1,Ingles-Camino,3
98,200501,2005,1,Muxia-Finisterre,1
99,200501,2005,1,Norte-Camino de,8
100,200501,2005,1,Portugues-Camino,21
101,200501,2005,1,Primitivo-Camino,1
102,200501,2005,1,Via de la Plata,9
103,200502,2005,2,Frances-Camino de,478
104,200502,2005,2,Ingles-Camino,3
105,200502,2005,2,Norte-Camino de,4
106,200502,2005,2,Otros caminos,1
107,200502,2005,2,Portugues-Camino,54
108,200502,2005,2,Primitivo-Camino,5
109,200502,2005,2,Via de la Plata,20
110,200503,2005,3,Costa Camino Portugues  ,5
111,200503,2005,3,Frances-Camino de,2425
112,200503,2005,3,Ingles-Camino,57
113,200503,2005,3,Muxia-Finisterre,3
114,200503,2005,3,Norte-Camino de,118
115,200503,2005,3,Otros caminos,2
116,200503,2005,3,Portugues-Camino,296
117,200503,2005,3,Primitivo-Camino,86
118,200503,2005,3,Via de la Plata,129
119,200504,2005,4,Frances-Camino de,2661
120,200504,2005,4,Ingles-Camino,16
121,200504,2005,4,Muxia-Finisterre,1
122,200504,2005,4,Norte-Camino de,41
123,200504,2005,4,Otros caminos,2
124,200504,2005,4,Portugues-Camino,406
125,200504,2005,4,Primitivo-Camino,32
126,200504,2005,4,Via de la Plata,148
127,200505,2005,5,Costa Camino Portugues  ,40
128,200505,2005,5,Frances-Camino de,7885
129,200505,2005,5,Ingles-Camino,36
130,200505,2005,5,Norte-Camino de,248
131,200505,2005,5,Otros caminos,6
132,200505,2005,5,Portugues-Camino,524
133,200505,2005,5,Primitivo-Camino,78
134,200505,2005,5,Via de la Plata,493
135,200506,2005,6,Costa Camino Portugues  ,10
136,200506,2005,6,Frances-Camino de,10997
137,200506,2005,6,Ingles-Camino,45
138,200506,2005,6,Muxia-Finisterre,11
139,200506,2005,6,Norte-Camino de,376
140,200506,2005,6,Otros caminos,8
141,200506,2005,6,Portugues-Camino,590
142,200506,2005,6,Primitivo-Camino,113
143,200506,2005,6,Via de la Plata,469
144,200507,2005,7,Costa Camino Portugues  ,25
145,200507,2005,7,Frances-Camino de,15693
146,200507,2005,7,Ingles-Camino,171
147,200507,2005,7,Muxia-Finisterre,49
148,200507,2005,7,Norte-Camino de,970
149,200507,2005,7,Otros caminos,36
150,200507,2005,7,Portugues-Camino,937
151,200507,2005,7,Primitivo-Camino,311
152,200507,2005,7,Via de la Plata,612
153,200508,2005,8,Costa Camino Portugues  ,1
154,200508,2005,8,Frances-Camino de,20873
155,200508,2005,8,Ingles-Camino,135
156,200508,2005,8,Invierno de Camino,5
157,200508,2005,8,Muxia-Finisterre,27
158,200508,2005,8,Norte-Camino de,1251
159,200508,2005,8,Otros caminos,28
160,200508,2005,8,Portugues-Camino,1523
161,200508,2005,8,Primitivo-Camino,349
162,200508,2005,8,Via de la Plata,639
163,200509,2005,9,Costa Camino Portugues  ,2
164,200509,2005,9,Frances-Camino de,10548
165,200509,2005,9,Ingles-Camino,75
166,200509,2005,9,Muxia-Finisterre,9
167,200509,2005,9,Norte-Camino de,487
168,200509,2005,9,Otros caminos,6
169,200509,2005,9,Portugues-Camino,576
170,200509,2005,9,Primitivo-Camino,161
171,200509,2005,9,Via de la Plata,304
172,200510,2005,10,Costa Camino Portugues  ,1
173,200510,2005,10,Frances-Camino de,5980
174,200510,2005,10,Ingles-Camino,25
175,200510,2005,10,Muxia-Finisterre,4
176,200510,2005,10,Norte-Camino de,205
177,200510,2005,10,Otros caminos,8
178,200510,2005,10,Portugues-Camino,395
179,200510,2005,10,Primitivo-Camino,49
180,200510,2005,10,Via de la Plata,206
181,200511,2005,11,Frances-Camino de,1165
182,200511,2005,11,Ingles-Camino,44
183,200511,2005,11,Invierno de Camino,9
184,200511,2005,11,Norte-Camino de,37
185,200511,2005,11,Portugues-Camino,45
186,200511,2005,11,Primitivo-Camino,6
187,200511,2005,11,Via de la Plata,82
188,200512,2005,12,Costa Camino Portugues  ,3
189,200512,2005,12,Frances-Camino de,479
190,200512,2005,12,Ingles-Camino,41
191,200512,2005,12,Muxia-Finisterre,2
192,200512,2005,12,Norte-Camino de,35
193,200512,2005,12,Otros caminos,1
194,200512,2005,12,Portugues-Camino,53
195,200512,2005,12,Primitivo-Camino,24
196,200512,2005,12,Via de la Plata,30
197,200601,2006,1,Costa Camino Portugues  ,2
198,200601,2006,1,Frances-Camino de,259
199,200601,2006,1,Ingles-Camino,2
200,200601,2006,1,Muxia-Finisterre,2
201,200601,2006,1,Norte-Camino de,14
202,200601,2006,1,Portugues-Camino,25
203,200601,2006,1,Primitivo-Camino,5
204,200601,2006,1,Via de la Plata,15
205,200602,2006,2,Costa Camino Portugues  ,2
206,200602,2006,2,Frances-Camino de,285
207,200602,2006,2,Ingles-Camino,8
208,200602,2006,2,Muxia-Finisterre,1
209,200602,2006,2,Norte-Camino de,13
210,200602,2006,2,Portugues-Camino,31
211,200602,2006,2,Via de la Plata,11
212,200603,2006,3,Frances-Camino de,944
213,200603,2006,3,Ingles-Camino,5
214,200603,2006,3,Muxia-Finisterre,1
215,200603,2006,3,Norte-Camino de,40
216,200603,2006,3,Otros caminos,1
217,200603,2006,3,Portugues-Camino,60
218,200603,2006,3,Primitivo-Camino,8
219,200603,2006,3,Via de la Plata,37
220,200604,2006,4,Costa Camino Portugues  ,3
221,200604,2006,4,Frances-Camino de,5540
222,200604,2006,4,Ingles-Camino,82
223,200604,2006,4,Muxia-Finisterre,11
224,200604,2006,4,Norte-Camino de,291
225,200604,2006,4,Otros caminos,11
226,200604,2006,4,Portugues-Camino,1085
227,200604,2006,4,Primitivo-Camino,70
228,200604,2006,4,Via de la Plata,358
229,200605,2006,5,Costa Camino Portugues  ,18
230,200605,2006,5,Frances-Camino de,8462
231,200605,2006,5,Ingles-Camino,32
232,200605,2006,5,Muxia-Finisterre,34
233,200605,2006,5,Norte-Camino de,302
234,200605,2006,5,Otros caminos,15
235,200605,2006,5,Portugues-Camino,618
236,200605,2006,5,Primitivo-Camino,128
237,200605,2006,5,Via de la Plata,538
238,200606,2006,6,Costa Camino Portugues  ,4
239,200606,2006,6,Frances-Camino de,11140
240,200606,2006,6,Ingles-Camino,73
241,200606,2006,6,Muxia-Finisterre,5
