,ID,Anho,Mes,Descripcion,Total
0,200401,2004,1,30-60,378
1,200401,2004,1,<30,209
2,200401,2004,1,>60,56
3,200402,2004,2,30-60,635
4,200402,2004,2,<30,716
5,200402,2004,2,>60,50
6,200403,2004,3,30-60,1654
7,200403,2004,3,<30,1264
8,200403,2004,3,>60,187
9,200404,2004,4,30-60,8025
10,200404,2004,4,<30,6545
11,200404,2004,4,>60,984
12,200405,2004,5,30-60,11374
13,200405,2004,5,<30,2656
14,200405,2004,5,>60,2830
15,200406,2004,6,30-60,12502
16,200406,2004,6,<30,3975
17,200406,2004,6,>60,2818
18,200407,2004,7,30-60,14843
19,200407,2004,7,<30,15289
20,200407,2004,7,>60,1759
21,200408,2004,8,30-60,21715
22,200408,2004,8,<30,22588
23,200408,2004,8,>60,1298
24,200409,2004,9,30-60,12852
25,200409,2004,9,<30,7565
26,200409,2004,9,>60,2335
27,200410,2004,10,30-60,8975
28,200410,2004,10,<30,3933
29,200410,2004,10,>60,1648
30,200411,2004,11,30-60,3056
31,200411,2004,11,<30,984
32,200411,2004,11,>60,370
33,200412,2004,12,30-60,2543
34,200412,2004,12,<30,1037
35,200412,2004,12,>60,222
36,200501,2005,1,30-60,174
37,200501,2005,1,<30,86
38,200501,2005,1,>60,9
39,200502,2005,2,30-60,318
40,200502,2005,2,<30,224
41,200502,2005,2,>60,23
42,200503,2005,3,30-60,1352
43,200503,2005,3,<30,1677
44,200503,2005,3,>60,92
45,200504,2005,4,30-60,1793
46,200504,2005,4,<30,1042
47,200504,2005,4,>60,472
48,200505,2005,5,30-60,5954
49,200505,2005,5,<30,1307
50,200505,2005,5,>60,2049
51,200506,2005,6,30-60,7813
52,200506,2005,6,<30,2090
53,200506,2005,6,>60,2716
54,200507,2005,7,30-60,9232
55,200507,2005,7,<30,8368
56,200507,2005,7,>60,1204
57,200508,2005,8,30-60,14345
58,200508,2005,8,<30,9681
59,200508,2005,8,>60,805
60,200509,2005,9,30-60,6905
61,200509,2005,9,<30,3650
62,200509,2005,9,>60,1613
63,200510,2005,10,30-60,4064
64,200510,2005,10,<30,1548
65,200510,2005,10,>60,1261
66,200511,2005,11,30-60,907
67,200511,2005,11,<30,341
68,200511,2005,11,>60,140
69,200512,2005,12,30-60,437
70,200512,2005,12,<30,202
71,200512,2005,12,>60,29
72,200601,2006,1,30-60,218
73,200601,2006,1,<30,87
74,200601,2006,1,>60,19
75,200602,2006,2,30-60,166
76,200602,2006,2,<30,167
77,200602,2006,2,>60,18
78,200603,2006,3,30-60,535
79,200603,2006,3,<30,493
80,200603,2006,3,>60,68
81,200604,2006,4,30-60,3635
82,200604,2006,4,<30,3257
83,200604,2006,4,>60,559
84,200605,2006,5,30-60,6209
85,200605,2006,5,<30,1418
86,200605,2006,5,>60,2520
87,200606,2006,6,30-60,8068
88,200606,2006,6,<30,2069
89,200606,2006,6,>60,2874
90,200607,2006,7,30-60,8970
91,200607,2006,7,<30,8606
92,200607,2006,7,>60,1144
93,200608,2006,8,30-60,14502
94,200608,2006,8,<30,10793
95,200608,2006,8,>60,888
96,200609,2006,9,30-60,7561
97,200609,2006,9,<30,3742
98,200609,2006,9,>60,2167
99,200610,2006,10,30-60,4670
100,200610,2006,10,<30,1583
101,200610,2006,10,>60,1447
102,200611,2006,11,30-60,1090
103,200611,2006,11,<30,452
104,200611,2006,11,>60,213
105,200612,2006,12,30-60,573
106,200612,2006,12,<30,223
107,200612,2006,12,>60,52
108,200701,2007,1,30-60,231
109,200701,2007,1,<30,99
110,200701,2007,1,>60,20
111,200702,2007,2,30-60,320
112,200702,2007,2,<30,321
113,200702,2007,2,>60,24
114,200703,2007,3,30-60,735
115,200703,2007,3,<30,812
116,200703,2007,3,>60,133
117,200704,2007,4,30-60,4484
118,200704,2007,4,<30,2658
119,200704,2007,4,>60,973
120,200705,2007,5,30-60,8011
121,200705,2007,5,<30,1693
122,200705,2007,5,>60,3220
123,200706,2007,6,30-60,9395
124,200706,2007,6,<30,2488
125,200706,2007,6,>60,3299
126,200707,2007,7,30-60,9631
127,200707,2007,7,<30,9067
128,200707,2007,7,>60,1458
