,ID,Anho,Mes,Descripcion,Total
0,200401,2004,1,América del Norte,13
1,200401,2004,1,América del Sur,7
2,200401,2004,1,Asia,5
3,200401,2004,1,Europa,608
4,200401,2004,1,Oceanía,10
5,200402,2004,2,Africa,3
6,200402,2004,2,América del Norte,30
7,200402,2004,2,América del Sur,31
8,200402,2004,2,Asia,3
9,200402,2004,2,Europa,1332
10,200402,2004,2,Oceanía,2
11,200403,2004,3,América del Norte,66
12,200403,2004,3,América del Sur,34
13,200403,2004,3,Asia,15
14,200403,2004,3,Europa,2986
15,200403,2004,3,Oceanía,4
16,200404,2004,4,Africa,12
17,200404,2004,4,América del Norte,320
18,200404,2004,4,América del Sur,223
19,200404,2004,4,Asia,27
20,200404,2004,4,Europa,14934
21,200404,2004,4,Oceanía,38
22,200405,2004,5,Africa,19
23,200405,2004,5,América del Norte,593
24,200405,2004,5,América del Sur,487
25,200405,2004,5,Asia,24
26,200405,2004,5,Europa,15629
27,200405,2004,5,Oceanía,108
28,200406,2004,6,Africa,26
29,200406,2004,6,América del Norte,763
30,200406,2004,6,América del Sur,527
31,200406,2004,6,Asia,53
32,200406,2004,6,Europa,17831
33,200406,2004,6,Oceanía,95
34,200407,2004,7,Africa,31
35,200407,2004,7,América del Norte,679
36,200407,2004,7,América del Sur,444
37,200407,2004,7,Asia,67
38,200407,2004,7,Europa,30615
39,200407,2004,7,Oceanía,55
40,200408,2004,8,Africa,21
41,200408,2004,8,América del Norte,282
42,200408,2004,8,América del Sur,429
43,200408,2004,8,Asia,59
44,200408,2004,8,Europa,44785
45,200408,2004,8,Oceanía,25
46,200409,2004,9,Africa,17
47,200409,2004,9,América del Norte,574
48,200409,2004,9,América del Sur,472
49,200409,2004,9,Asia,52
50,200409,2004,9,Europa,21544
51,200409,2004,9,Oceanía,93
52,200410,2004,10,Africa,24
53,200410,2004,10,América del Norte,689
54,200410,2004,10,América del Sur,526
55,200410,2004,10,Asia,44
56,200410,2004,10,Europa,13169
57,200410,2004,10,Oceanía,104
58,200411,2004,11,Africa,1
59,200411,2004,11,América del Norte,129
60,200411,2004,11,América del Sur,322
61,200411,2004,11,Asia,17
62,200411,2004,11,Europa,3914
63,200411,2004,11,Oceanía,27
64,200412,2004,12,América del Norte,46
65,200412,2004,12,América del Sur,73
66,200412,2004,12,Asia,12
67,200412,2004,12,Europa,3658
68,200412,2004,12,Oceanía,13
69,200501,2005,1,América del Norte,21
70,200501,2005,1,América del Sur,13
71,200501,2005,1,Asia,2
72,200501,2005,1,Europa,229
73,200501,2005,1,Oceanía,4
74,200502,2005,2,América del Norte,5
75,200502,2005,2,América del Sur,9
76,200502,2005,2,Asia,14
77,200502,2005,2,Europa,536
78,200502,2005,2,Oceanía,1
79,200503,2005,3,Africa,2
80,200503,2005,3,América del Norte,111
81,200503,2005,3,América del Sur,71
82,200503,2005,3,Asia,26
83,200503,2005,3,Europa,2898
84,200503,2005,3,Oceanía,13
85,200504,2005,4,Africa,3
86,200504,2005,4,América del Norte,177
87,200504,2005,4,América del Sur,65
88,200504,2005,4,Asia,13
89,200504,2005,4,Europa,3009
90,200504,2005,4,Oceanía,40
91,200505,2005,5,Africa,26
92,200505,2005,5,América del Norte,534
93,200505,2005,5,América del Sur,322
94,200505,2005,5,Asia,43
95,200505,2005,5,Europa,8244
96,200505,2005,5,Oceanía,141
97,200506,2005,6,Africa,62
98,200506,2005,6,América del Norte,785
99,200506,2005,6,América del Sur,355
100,200506,2005,6,Asia,55
101,200506,2005,6,Europa,11233
102,200506,2005,6,Oceanía,129
103,200507,2005,7,Africa,38
104,200507,2005,7,América del Norte,718
105,200507,2005,7,América del Sur,283
106,200507,2005,7,Asia,38
107,200507,2005,7,Europa,17662
108,200507,2005,7,Oceanía,65
109,200508,2005,8,Africa,22
110,200508,2005,8,América del Norte,328
111,200508,2005,8,América del Sur,282
112,200508,2005,8,Asia,69
113,200508,2005,8,Europa,24079
114,200508,2005,8,Oceanía,51
115,200509,2005,9,Africa,22
116,200509,2005,9,América del Norte,513
117,200509,2005,9,América del Sur,267
118,200509,2005,9,Asia,54
119,200509,2005,9,Europa,11149
120,200509,2005,9,Oceanía,163
121,200510,2005,10,Africa,22
122,200510,2005,10,América del Norte,663
123,200510,2005,10,América del Sur,318
124,200510,2005,10,Asia,45
125,200510,2005,10,Europa,5688
126,200510,2005,10,Oceanía,137
127,200511,2005,11,Africa,3
128,200511,2005,11,América del Norte,108
129,200511,2005,11,América del Sur,70
130,200511,2005,11,Asia,16
131,200511,2005,11,Europa,1149
132,200511,2005,11,Oceanía,42
133,200512,2005,12,Africa,1
134,200512,2005,12,América del Norte,28
135,200512,2005,12,América del Sur,28
136,200512,2005,12,Asia,13
137,200512,2005,12,Europa,592
138,200512,2005,12,Oceanía,6
139,200601,2006,1,Africa,1
140,200601,2006,1,América del Norte,8
141,200601,2006,1,América del Sur,20
142,200601,2006,1,Asia,7
143,200601,2006,1,Europa,287
144,200601,2006,1,Oceanía,1
145,200602,2006,2,América del Norte,13
146,200602,2006,2,América del Sur,11
147,200602,2006,2,Asia,1
148,200602,2006,2,Europa,326
149,200603,2006,3,América del Norte,66
150,200603,2006,3,América del Sur,27
151,200603,2006,3,Asia,10
152,200603,2006,3,Europa,983
153,200603,2006,3,Oceanía,10
154,200604,2006,4,Africa,5
155,200604,2006,4,América del Norte,204
156,200604,2006,4,América del Sur,183
157,200604,2006,4,Asia,11
158,200604,2006,4,Europa,7020
159,200604,2006,4,Oceanía,28
160,200605,2006,5,Africa,29
161,200605,2006,5,América del Norte,589
162,200605,2006,5,América del Sur,343
163,200605,2006,5,Asia,59
164,200605,2006,5,Europa,8973
165,200605,2006,5,Oceanía,154
166,200606,2006,6,Africa,71
167,200606,2006,6,América del Norte,758
168,200606,2006,6,América del Sur,352
169,200606,2006,6,Asia,72
170,200606,2006,6,Europa,11550
171,200606,2006,6,Oceanía,208
172,200607,2006,7,Africa,47
173,200607,2006,7,América del Norte,666
174,200607,2006,7,América del Sur,261
175,200607,2006,7,Asia,77
176,200607,2006,7,Europa,17582
177,200607,2006,7,Oceanía,87
178,200608,2006,8,Africa,21
179,200608,2006,8,América del Norte,319
180,200608,2006,8,América del Sur,282
181,200608,2006,8,Asia,68
182,200608,2006,8,Europa,25452
183,200608,2006,8,Oceanía,41
184,200609,2006,9,Africa,43
185,200609,2006,9,América del Norte,522
186,200609,2006,9,América del Sur,334
187,200609,2006,9,Asia,67
188,200609,2006,9,Europa,12398
189,200609,2006,9,Oceanía,106
190,200610,2006,10,Africa,43
191,200610,2006,10,América del Norte,692
192,200610,2006,10,América del Sur,310
