,ID,Anho,Mes,Descripcion,Total
0,200401,2004,1,No religioso,31
1,200401,2004,1,Religioso,488
2,200401,2004,1,Religioso y otros,124
3,200402,2004,2,No religioso,61
4,200402,2004,2,Religioso,1090
5,200402,2004,2,Religioso y otros,250
6,200403,2004,3,No religioso,197
7,200403,2004,3,Religioso,2219
8,200403,2004,3,Religioso y otros,689
9,200404,2004,4,No religioso,1242
10,200404,2004,4,Religioso,11200
11,200404,2004,4,Religioso y otros,3112
12,200405,2004,5,No religioso,1077
13,200405,2004,5,Religioso,12405
14,200405,2004,5,Religioso y otros,3378
15,200406,2004,6,No religioso,964
16,200406,2004,6,Religioso,14379
17,200406,2004,6,Religioso y otros,3952
18,200407,2004,7,No religioso,1729
19,200407,2004,7,Religioso,23760
20,200407,2004,7,Religioso y otros,6402
21,200408,2004,8,No religioso,2190
22,200408,2004,8,Religioso,35918
23,200408,2004,8,Religioso y otros,7493
24,200409,2004,9,No religioso,1366
25,200409,2004,9,Religioso,15958
26,200409,2004,9,Religioso y otros,5428
27,200410,2004,10,No religioso,840
28,200410,2004,10,Religioso,10784
29,200410,2004,10,Religioso y otros,2932
30,200411,2004,11,No religioso,214
31,200411,2004,11,Religioso,3239
32,200411,2004,11,Religioso y otros,957
33,200412,2004,12,No religioso,175
34,200412,2004,12,Religioso,2819
35,200412,2004,12,Religioso y otros,808
36,200501,2005,1,No religioso,27
37,200501,2005,1,Religioso,188
38,200501,2005,1,Religioso y otros,54
39,200502,2005,2,No religioso,21
40,200502,2005,2,Religioso,460
41,200502,2005,2,Religioso y otros,84
42,200503,2005,3,No religioso,330
43,200503,2005,3,Religioso,1281
44,200503,2005,3,Religioso y otros,1510
45,200504,2005,4,No religioso,287
46,200504,2005,4,Religioso,1265
47,200504,2005,4,Religioso y otros,1755
48,200505,2005,5,No religioso,788
49,200505,2005,5,Religioso,3725
50,200505,2005,5,Religioso y otros,4797
51,200506,2005,6,No religioso,860
52,200506,2005,6,Religioso,5007
53,200506,2005,6,Religioso y otros,6752
54,200507,2005,7,No religioso,1724
55,200507,2005,7,Religioso,7385
56,200507,2005,7,Religioso y otros,9695
57,200508,2005,8,No religioso,2438
58,200508,2005,8,Religioso,9314
59,200508,2005,8,Religioso y otros,13079
60,200509,2005,9,No religioso,1305
61,200509,2005,9,Religioso,3949
62,200509,2005,9,Religioso y otros,6914
63,200510,2005,10,No religioso,534
64,200510,2005,10,Religioso,2309
65,200510,2005,10,Religioso y otros,4030
66,200511,2005,11,No religioso,123
67,200511,2005,11,Religioso,327
68,200511,2005,11,Religioso y otros,938
69,200512,2005,12,No religioso,55
70,200512,2005,12,Religioso,246
71,200512,2005,12,Religioso y otros,367
