IDX,ID,Anho,Mes,Descripcion,Total
0,200401,2004,1,Astorga,58
1,200401,2004,1,Cebreiro,240
2,200401,2004,1,León,46
3,200401,2004,1,Madrid - V.P.,34
4,200401,2004,1,Pamplona,30
5,200401,2004,1,Ponferrada,98
6,200401,2004,1,Resto,248
7,200401,2004,1,Roncesvalles,62
8,200401,2004,1,S. Jean P. Port,60
9,200401,2004,1,Sarria,304
10,200401,2004,1,Vilafranca,106
11,200402,2004,2,Astorga,68
12,200402,2004,2,Cebreiro,334
13,200402,2004,2,Ferrol,68
14,200402,2004,2,León,116
15,200402,2004,2,Ponferrada,100
16,200402,2004,2,Resto,552
17,200402,2004,2,Roncesvalles,166
18,200402,2004,2,S. Jean P. Port,80
19,200402,2004,2,Sarria,1026
20,200402,2004,2,Tui,234
21,200402,2004,2,Vilafranca,58
22,200403,2004,3,Astorga,254
23,200403,2004,3,Cebreiro,1152
24,200403,2004,3,Ferrol,184
25,200403,2004,3,León,308
26,200403,2004,3,Ponferrada,290
27,200403,2004,3,Resto,1204
28,200403,2004,3,Roncesvalles,436
29,200403,2004,3,S. Jean P. Port,120
30,200403,2004,3,Sarria,1484
31,200403,2004,3,Tui,650
32,200403,2004,3,Vilafranca,128
33,200404,2004,4,Astorga,1018
34,200404,2004,4,Cebreiro,4724
35,200404,2004,4,León,1210
36,200404,2004,4,Ourense,928
37,200404,2004,4,Ponferrada,1514
38,200404,2004,4,Resto,5666
39,200404,2004,4,Roncesvalles,1566
40,200404,2004,4,S. Jean P. Port,784
41,200404,2004,4,Sarria,9702
42,200404,2004,4,Tui,2924
43,200404,2004,4,Vilafranca,1072
44,200405,2004,5,Astorga,1146
45,200405,2004,5,Burgos,830
46,200405,2004,5,Cebreiro,4080
47,200405,2004,5,León,2040
48,200405,2004,5,Pamplona,920
49,200405,2004,5,Ponferrada,1618
50,200405,2004,5,Resto,9454
51,200405,2004,5,Roncesvalles,3096
52,200405,2004,5,S. Jean P. Port,2722
53,200405,2004,5,Sarria,5658
54,200405,2004,5,Tui,2156
55,200406,2004,6,Astorga,1462
56,200406,2004,6,Cebreiro,4932
57,200406,2004,6,León,1822
58,200406,2004,6,Pamplona,966
59,200406,2004,6,Ponferrada,1804
60,200406,2004,6,Resto,11516
61,200406,2004,6,Roncesvalles,3896
62,200406,2004,6,S. Jean P. Port,3378
63,200406,2004,6,Sarria,6628
64,200406,2004,6,Tui,1338
65,200406,2004,6,Vilafranca,848
66,200407,2004,7,Astorga,3476
67,200407,2004,7,Cebreiro,7370
68,200407,2004,7,León,3634
69,200407,2004,7,Ponferrada,5336
70,200407,2004,7,Resto,17344
71,200407,2004,7,Roncesvalles,4054
72,200407,2004,7,S. Jean P. Port,2530
73,200407,2004,7,Sarria,12542
74,200407,2004,7,Triacastela,1068
75,200407,2004,7,Tui,4180
76,200407,2004,7,Vilafranca,2248
77,200408,2004,8,Astorga,3120
78,200408,2004,8,Cebreiro,8028
79,200408,2004,8,León,4698
80,200408,2004,8,Ourense,6358
81,200408,2004,8,Oviedo - C.P.,5290
82,200408,2004,8,Ponferrada,5690
83,200408,2004,8,Resto,24802
84,200408,2004,8,Roncesvalles,5960
85,200408,2004,8,S. Jean P. Port,3286
86,200408,2004,8,Sarria,18940
87,200408,2004,8,Tui,5030
88,200409,2004,9,Astorga,1954
89,200409,2004,9,Cebreiro,4630
90,200409,2004,9,León,2722
91,200409,2004,9,Pamplona,1102
92,200409,2004,9,Ponferrada,2924
93,200409,2004,9,Resto,11290
94,200409,2004,9,Roncesvalles,3572
95,200409,2004,9,S. Jean P. Port,2576
96,200409,2004,9,Sarria,11576
97,200409,2004,9,Tui,2062
98,200409,2004,9,Vilafranca,1096
99,200410,2004,10,Astorga,950
100,200410,2004,10,Cebreiro,2894
101,200410,2004,10,Le Puy,672
102,200410,2004,10,León,1404
103,200410,2004,10,Ourense,816
104,200410,2004,10,Ponferrada,1370
105,200410,2004,10,Resto,7152
106,200410,2004,10,Roncesvalles,2398
107,200410,2004,10,S. Jean P. Port,2394
108,200410,2004,10,Sarria,7692
109,200410,2004,10,Tui,1370
110,200411,2004,11,Astorga,244
111,200411,2004,11,Cebreiro,1532
112,200411,2004,11,Le Puy,196
113,200411,2004,11,León,302
114,200411,2004,11,Ponferrada,318
115,200411,2004,11,Resto,2432
116,200411,2004,11,Roncesvalles,646
117,200411,2004,11,S. Jean P. Port,542
118,200411,2004,11,Sarria,1966
119,200411,2004,11,Triacastela,146
120,200411,2004,11,Tui,496
121,200412,2004,12,Astorga,128
122,200412,2004,12,Cebreiro,1474
123,200412,2004,12,Ferrol,144
124,200412,2004,12,León,258
125,200412,2004,12,Oviedo - C.P.,144
126,200412,2004,12,Ponferrada,222
127,200412,2004,12,Resto,1718
128,200412,2004,12,Roncesvalles,362
129,200412,2004,12,S. Jean P. Port,208
130,200412,2004,12,Sarria,1964
131,200412,2004,12,Tui,982
132,200501,2005,1,Astorga,18
133,200501,2005,1,Burgos,18
134,200501,2005,1,Cebreiro,66
135,200501,2005,1,León,56
136,200501,2005,1,Pamplona,16
137,200501,2005,1,Ponferrada,28
138,200501,2005,1,Resto,160
139,200501,2005,1,Roncesvalles,22
140,200501,2005,1,S. Jean P. Port,44
141,200501,2005,1,Sarria,84
142,200501,2005,1,Tui,26
143,200502,2005,2,Braga,24
144,200502,2005,2,Burgos,36
145,200502,2005,2,Cebreiro,462
146,200502,2005,2,León,46
147,200502,2005,2,Pamplona,20
148,200502,2005,2,Ponferrada,54
149,200502,2005,2,Resto,180
150,200502,2005,2,Roncesvalles,42
151,200502,2005,2,S. Jean P. Port,44
152,200502,2005,2,Sarria,162
153,200502,2005,2,Tui,60
154,200503,2005,3,Astorga,278
155,200503,2005,3,Cebreiro,790
156,200503,2005,3,León,256
157,200503,2005,3,Lugo - C.P.,138
