,ID,Anho,Mes,Descripcion,Total
0,200401,2004,1,Bicicleta,44
1,200401,2004,1,Pie,599
2,200402,2004,2,Bicicleta,73
3,200402,2004,2,Caballo,3
4,200402,2004,2,Pie,1325
5,200403,2004,3,Bicicleta,201
6,200403,2004,3,Caballo,40
7,200403,2004,3,Pie,2864
8,200404,2004,4,Bicicleta,1282
9,200404,2004,4,Caballo,100
10,200404,2004,4,Pie,14172
11,200405,2004,5,Bicicleta,2363
12,200405,2004,5,Caballo,175
13,200405,2004,5,Pie,14312
14,200405,2004,5,Silla de ruedas,10
15,200406,2004,6,Bicicleta,3476
16,200406,2004,6,Caballo,176
17,200406,2004,6,Pie,15632
18,200406,2004,6,Silla de ruedas,11
19,200407,2004,7,Bicicleta,3404
20,200407,2004,7,Caballo,345
21,200407,2004,7,Pie,28124
22,200407,2004,7,Silla de ruedas,18
23,200408,2004,8,Bicicleta,5229
24,200408,2004,8,Caballo,385
25,200408,2004,8,Pie,39977
26,200408,2004,8,Silla de ruedas,10
27,200409,2004,9,Bicicleta,3191
28,200409,2004,9,Caballo,243
29,200409,2004,9,Pie,19312
30,200409,2004,9,Silla de ruedas,6
31,200410,2004,10,Bicicleta,1496
32,200410,2004,10,Caballo,106
33,200410,2004,10,Pie,12951
34,200410,2004,10,Silla de ruedas,3
35,200411,2004,11,Bicicleta,308
36,200411,2004,11,Caballo,34
37,200411,2004,11,Pie,4066
38,200411,2004,11,Silla de ruedas,2
39,200412,2004,12,Bicicleta,183
40,200412,2004,12,Caballo,64
41,200412,2004,12,Pie,3555
42,200501,2005,1,Bicicleta,24
43,200501,2005,1,Caballo,1
44,200501,2005,1,Pie,244
45,200502,2005,2,Bicicleta,26
46,200502,2005,2,Pie,539
47,200503,2005,3,Bicicleta,321
48,200503,2005,3,Caballo,10
49,200503,2005,3,Pie,2790
50,200504,2005,4,Bicicleta,329
51,200504,2005,4,Caballo,9
52,200504,2005,4,Pie,2968
53,200504,2005,4,Silla de ruedas,1
54,200505,2005,5,Bicicleta,1920
55,200505,2005,5,Caballo,41
56,200505,2005,5,Pie,7348
57,200505,2005,5,Silla de ruedas,1
58,200506,2005,6,Bicicleta,3039
59,200506,2005,6,Caballo,18
60,200506,2005,6,Pie,9560
61,200506,2005,6,Silla de ruedas,2
62,200507,2005,7,Bicicleta,2918
63,200507,2005,7,Caballo,74
64,200507,2005,7,Pie,15810
65,200507,2005,7,Silla de ruedas,2
66,200508,2005,8,Bicicleta,4991
67,200508,2005,8,Caballo,60
68,200508,2005,8,Pie,19766
69,200508,2005,8,Silla de ruedas,14
70,200509,2005,9,Bicicleta,2348
71,200509,2005,9,Caballo,11
72,200509,2005,9,Pie,9807
73,200509,2005,9,Silla de ruedas,2
74,200510,2005,10,Bicicleta,905
75,200510,2005,10,Caballo,14
76,200510,2005,10,Pie,5953
77,200510,2005,10,Silla de ruedas,1
78,200511,2005,11,Bicicleta,118
79,200511,2005,11,Caballo,1
80,200511,2005,11,Pie,1269
81,200512,2005,12,Bicicleta,44
82,200512,2005,12,Caballo,3
83,200512,2005,12,Pie,621
84,200601,2006,1,Bicicleta,23
85,200601,2006,1,Caballo,2
86,200601,2006,1,Pie,299
87,200602,2006,2,Bicicleta,22
88,200602,2006,2,Pie,329
89,200603,2006,3,Bicicleta,72
90,200603,2006,3,Caballo,3
91,200603,2006,3,Pie,1020
92,200603,2006,3,Silla de ruedas,1
93,200604,2006,4,Bicicleta,1135
94,200604,2006,4,Caballo,26
95,200604,2006,4,Pie,6289
96,200604,2006,4,Silla de ruedas,1
97,200605,2006,5,Bicicleta,1862
98,200605,2006,5,Caballo,30
99,200605,2006,5,Pie,8254
100,200605,2006,5,Silla de ruedas,1
101,200606,2006,6,Bicicleta,3112
102,200606,2006,6,Caballo,48
103,200606,2006,6,Pie,9850
104,200606,2006,6,Silla de ruedas,1
105,200607,2006,7,Bicicleta,2925
106,200607,2006,7,Caballo,63
107,200607,2006,7,Pie,15732
108,200608,2006,8,Bicicleta,5274
109,200608,2006,8,Caballo,50
110,200608,2006,8,Pie,20856
111,200608,2006,8,Silla de ruedas,3
112,200609,2006,9,Bicicleta,2749
113,200609,2006,9,Caballo,33
114,200609,2006,9,Pie,10687
115,200609,2006,9,Silla de ruedas,1
116,200610,2006,10,Bicicleta,991
117,200610,2006,10,Caballo,26
118,200610,2006,10,Pie,6681
119,200610,2006,10,Silla de ruedas,2
120,200611,2006,11,Bicicleta,168
121,200611,2006,11,Caballo,12
122,200611,2006,11,Pie,1574
123,200611,2006,11,Silla de ruedas,1
124,200612,2006,12,Bicicleta,65
125,200612,2006,12,Caballo,1
126,200612,2006,12,Pie,782
127,200701,2007,1,Bicicleta,28
128,200701,2007,1,Pie,322
129,200702,2007,2,Bicicleta,27
130,200702,2007,2,Pie,638
131,200703,2007,3,Bicicleta,138
132,200703,2007,3,Caballo,12
133,200703,2007,3,Pie,1530
134,200704,2007,4,Bicicleta,1283
135,200704,2007,4,Caballo,36
136,200704,2007,4,Pie,6795
137,200704,2007,4,Silla de ruedas,1
138,200705,2007,5,Bicicleta,2197
139,200705,2007,5,Caballo,25
140,200705,2007,5,Pie,10701
141,200705,2007,5,Silla de ruedas,1
142,200706,2007,6,Bicicleta,3136
143,200706,2007,6,Caballo,46
144,200706,2007,6,Pie,11999
145,200706,2007,6,Silla de ruedas,1
146,200707,2007,7,Bicicleta,3150
147,200707,2007,7,Caballo,46
148,200707,2007,7,Pie,16959
149,200707,2007,7,Silla de ruedas,1
150,200708,2007,8,Bicicleta,5297
151,200708,2007,8,Caballo,91
152,200708,2007,8,Pie,21899
153,200708,2007,8,Silla de ruedas,2
154,200709,2007,9,Bicicleta,2925
155,200709,2007,9,Caballo,51
156,200709,2007,9,Pie,12306
157,200710,2007,10,Bicicleta,1274
158,200710,2007,10,Caballo,50
159,200710,2007,10,Pie,8118
160,200710,2007,10,Silla de ruedas,1
161,200711,2007,11,Bicicleta,259
162,200711,2007,11,Caballo,7
163,200711,2007,11,Pie,2230
164,200712,2007,12,Bicicleta,51
165,200712,2007,12,Pie,744
166,200801,2008,1,Bicicleta,18
167,200801,2008,1,Pie,288
168,200802,2008,2,Bicicleta,46
169,200802,2008,2,Pie,657
170,200803,2008,3,Bicicleta,628
171,200803,2008,3,Caballo,34
172,200803,2008,3,Pie,4665
173,200804,2008,4,Bicicleta,826
174,200804,2008,4,Caballo,6
175,200804,2008,4,Pie,4815
176,200804,2008,4,Silla de ruedas,1
177,200805,2008,5,Bicicleta,3150
178,200805,2008,5,Caballo,51
179,200805,2008,5,Pie,12799
180,200805,2008,5,Silla de ruedas,1
181,200806,2008,6,Bicicleta,3293
182,200806,2008,6,Caballo,32
183,200806,2008,6,Pie,12576
184,200806,2008,6,Silla de ruedas,3
185,200807,2008,7,Bicicleta,2937
186,200807,2008,7,Caballo,38
187,200807,2008,7,Pie,18085
188,200807,2008,7,Silla de ruedas,6
189,200808,2008,8,Bicicleta,5741
190,200808,2008,8,Caballo,47
191,200808,2008,8,Pie,24192
192,200808,2008,8,Silla de ruedas,16
193,200809,2008,9,Bicicleta,3224
194,200809,2008,9,Caballo,58
195,200809,2008,9,Pie,14088
196,200809,2008,9,Silla de ruedas,8
197,200810,2008,10,Bicicleta,1097
198,200810,2008,10,Caballo,25
199,200810,2008,10,Pie,8754
200,200810,2008,10,Silla de ruedas,2
201,200811,2008,11,Bicicleta,193
202,200811,2008,11,Caballo,2
203,200811,2008,11,Pie,2112
204,200811,2008,11,Silla de ruedas,2
205,200812,2008,12,Bicicleta,94
206,200812,2008,12,Pie,991
207,200901,2009,1,Bicicleta,32
208,200901,2009,1,Caballo,1
209,200901,2009,1,Pie,490
210,200902,2009,2,Bicicleta,62
211,200902,2009,2,Pie,636
212,200903,2009,3,Bicicleta,249
213,200903,2009,3,Caballo,11
214,200903,2009,3,Pie,1590
215,200904,2009,4,Bicicleta,1395
216,200904,2009,4,Caballo,46
217,200904,2009,4,Pie,8875
218,200905,2009,5,Bicicleta,3050
219,200905,2009,5,Caballo,50
220,200905,2009,5,Pie,13398
221,200906,2009,6,Bicicleta,3883
222,200906,2009,6,Caballo,45
223,200906,2009,6,Pie,15423
224,200906,2009,6,Silla de ruedas,3
225,200907,2009,7,Bicicleta,4143
226,200907,2009,7,Caballo,58
227,200907,2009,7,Pie,22551
228,200908,2009,8,Bicicleta,6649
229,200908,2009,8,Caballo,77
230,200908,2009,8,Pie,28808
231,200908,2009,8,Silla de ruedas,12
232,200909,2009,9,Bicicleta,3751
233,200909,2009,9,Caballo,33
234,200909,2009,9,Pie,16817
235,200909,2009,9,Silla de ruedas,22
236,200910,2009,10,Bicicleta,1576
237,200910,2009,10,Caballo,13
238,200910,2009,10,Pie,10141
239,200910,2009,10,Silla de ruedas,1
240,200911,2009,11,Bicicleta,215
241,200911,2009,11,Caballo,4
242,200911,2009,11,Pie,2133
243,200911,2009,11,Silla de ruedas,1
244,200912,2009,12,Bicicleta,122
245,200912,2009,12,Caballo,4
246,200912,2009,12,Pie,884
247,201001,2010,1,Bicicleta,51
248,201001,2010,1,Caballo,15
249,201001,2010,1,Pie,1122
250,201002,2010,2,Bicicleta,103
251,201002,2010,2,Caballo,3
252,201002,2010,2,Pie,1533
253,201002,2010,2,Silla de ruedas,1
254,201003,2010,3,Bicicleta,415
255,201003,2010,3,Pie,5466
256,201003,2010,3,Silla de ruedas,2
257,201004,2010,4,Bicicleta,2085
258,201004,2010,4,Caballo,207
259,201004,2010,4,Pie,17293
260,201004,2010,4,Silla de ruedas,2
261,201005,2010,5,Bicicleta,4073
262,201005,2010,5,Caballo,121
263,201005,2010,5,Pie,24648
264,201005,2010,5,Silla de ruedas,4
265,201006,2010,6,Bicicleta,5710
266,201006,2010,6,Caballo,153
267,201006,2010,6,Pie,27891
268,201006,2010,6,Silla de ruedas,2
269,201007,2010,7,Bicicleta,4622
270,201007,2010,7,Caballo,187
271,201007,2010,7,Pie,37649
272,201007,2010,7,Silla de ruedas,8
273,201008,2010,8,Bicicleta,7644
274,201008,2010,8,Caballo,196
275,201008,2010,8,Pie,53688
276,201008,2010,8,Silla de ruedas,6
277,201009,2010,9,Bicicleta,5042
278,201009,2010,9,Caballo,133
279,201009,2010,9,Pie,31665
280,201009,2010,9,Silla de ruedas,8
281,201010,2010,10,Bicicleta,2732
282,201010,2010,10,Caballo,118
283,201010,2010,10,Pie,23746
284,201010,2010,10,Silla de ruedas,2
285,201011,2010,11,Bicicleta,543
286,201011,2010,11,Caballo,26
287,201011,2010,11,Pie,7505
288,201011,2010,11,Silla de ruedas,1
289,201012,2010,12,Bicicleta,257
290,201012,2010,12,Caballo,71
291,201012,2010,12,Pie,5638
292,201012,2010,12,Silla de ruedas,1
293,201101,2011,1,Bicicleta,33
294,201101,2011,1,Caballo,1
295,201101,2011,1,Pie,610
296,201102,2011,2,Bicicleta,70
297,201102,2011,2,Pie,750
298,201103,2011,3,Bicicleta,550
299,201103,2011,3,Caballo,1
300,201103,2011,3,Pie,2472
301,201104,2011,4,Bicicleta,1813
