ID,Anho,Mes,Galicia,Asturias,Comunidad Valenciana,Madrid,Cataluña,Castilla León,Andalucía,Baleares,Pais Vasco,Castilla la Mancha,Resto,Canarias,Extremadura,Aragón,Murcia,La Rioja,Navarra,Ceuta,Cantabria,Residentes Extranjero,Melilla,Total
200401,2004,1,162.0,76.0,70.0,68.0,43.0,41.0,31.0,9.0,9.0,8.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0
200402,2004,2,391.0,0.0,76.0,235.0,107.0,62.0,59.0,29.0,22.0,51.0,76.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1145.0
200403,2004,3,1145.0,75.0,160.0,305.0,129.0,161.0,150.0,0.0,77.0,167.0,227.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2695.0
200404,2004,4,4282.0,0.0,1039.0,2048.0,894.0,925.0,891.0,274.0,622.0,417.0,1007.0,0.0,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12778.0
200405,2004,5,3781.0,374.0,639.0,1565.0,1023.0,831.0,685.0,0.0,598.0,410.0,942.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11201.0
200406,2004,6,3306.0,499.0,1187.0,1963.0,1530.0,1059.0,1034.0,0.0,627.0,479.0,1198.0,0.0,0.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13252.0
200407,2004,7,2440.0,640.0,1983.0,5124.0,2177.0,2709.0,3413.0,0.0,1442.0,1448.0,3207.0,0.0,1194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25777.0
200408,2004,8,2758.0,0.0,4442.0,7868.0,4527.0,2452.0,5795.0,0.0,1938.0,1986.0,3079.0,0.0,1000.0,0.0,1014.0,0.0,0.0,0.0,0.0,0.0,0.0,36859.0
200409,2004,9,3144.0,500.0,1556.0,2814.0,1617.0,1492.0,1936.0,0.0,628.0,731.0,1826.0,0.0,0.0,0.0,387.0,0.0,0.0,0.0,0.0,0.0,0.0,16631.0
200410,2004,10,2861.0,365.0,700.0,1848.0,872.0,622.0,780.0,0.0,457.0,258.0,853.0,0.0,0.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9844.0
200411,2004,11,1542.0,158.0,144.0,390.0,223.0,186.0,156.0,224.0,73.0,37.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3301.0
200412,2004,12,1963.0,164.0,168.0,324.0,154.0,134.0,141.0,59.0,115.0,46.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3437.0
200501,2005,1,42.0,0.0,13.0,28.0,14.0,6.0,23.0,0.0,9.0,0.0,14.0,0.0,0.0,7.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,164.0
200502,2005,2,201.0,0.0,35.0,36.0,27.0,7.0,46.0,15.0,6.0,2.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391.0
200503,2005,3,218.0,0.0,233.0,721.0,236.0,119.0,117.0,52.0,109.0,81.0,212.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2179.0
200504,2005,4,118.0,0.0,193.0,251.0,137.0,194.0,141.0,98.0,91.0,73.0,136.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1575.0
200505,2005,5,444.0,0.0,355.0,586.0,490.0,360.0,249.0,0.0,328.0,82.0,333.0,149.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3455.0
200506,2005,6,336.0,0.0,477.0,850.0,840.0,369.0,494.0,0.0,481.0,155.0,702.0,167.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5019.0
200507,2005,7,548.0,0.0,1535.0,2266.0,1409.0,1033.0,2113.0,0.0,1200.0,478.0,1359.0,0.0,513.0,0.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,12855.0
200508,2005,8,626.0,0.0,2587.0,2767.0,3156.0,1019.0,2095.0,0.0,1636.0,646.0,1531.0,0.0,433.0,0.0,527.0,0.0,0.0,0.0,0.0,0.0,0.0,17023.0
200509,2005,9,565.0,0.0,660.0,1131.0,937.0,611.0,803.0,0.0,450.0,203.0,782.0,0.0,0.0,185.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,6464.0
200510,2005,10,324.0,80.0,281.0,523.0,350.0,173.0,291.0,0.0,197.0,88.0,292.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2663.0
200511,2005,11,139.0,0.0,82.0,116.0,76.0,31.0,34.0,52.0,38.0,12.0,61.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655.0
200512,2005,12,112.0,0.0,29.0,81.0,47.0,45.0,33.0,18.0,24.0,11.0,30.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0
200601,2006,1,44.0,0.0,23.0,22.0,20.0,19.0,31.0,4.0,12.0,0.0,8.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0
200602,2006,2,30.0,0.0,32.0,60.0,36.0,7.0,17.0,7.0,8.0,25.0,13.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0
200603,2006,3,38.0,0.0,33.0,155.0,65.0,25.0,35.0,34.0,0.0,26.0,46.0,23.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.0
