ID,Anho,Mes,Estudiantes,Obreros,Liberales,Empleados,Profesores,Jubilados,Tecnicos,Funcionarios,Parados,Amas de Casa,Resto,Sacerdotes,Artistas,Directivos,Agricultores,Religiosas/os,Marinos,Deportistas,Sin establecer,Total
200401,2004,1,144.0,94.0,87.0,64.0,54.0,50.0,47.0,34.0,23.0,22.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,643.0
200402,2004,2,486.0,143.0,185.0,113.0,82.0,45.0,133.0,91.0,29.0,45.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1401.0
200403,2004,3,822.0,376.0,349.0,358.0,132.0,157.0,283.0,251.0,81.0,210.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3105.0
200404,2004,4,4552.0,1442.0,1968.0,2097.0,1050.0,829.0,1386.0,813.0,240.0,833.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15554.0
200405,2004,5,1196.0,1047.0,2512.0,3626.0,598.0,2640.0,1940.0,1220.0,255.0,1334.0,492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16860.0
200406,2004,6,2163.0,1371.0,2700.0,3738.0,857.0,2486.0,2320.0,1467.0,329.0,1276.0,588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19295.0
200407,2004,7,12030.0,1391.0,2985.0,3855.0,3119.0,1546.0,2668.0,1729.0,274.0,1443.0,851.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31891.0
200408,2004,8,15568.0,3219.0,5320.0,7109.0,3909.0,963.0,4154.0,1581.0,0.0,1754.0,1451.0,573.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45601.0
200409,2004,9,4841.0,1289.0,2965.0,4270.0,934.0,2053.0,2714.0,1410.0,270.0,1241.0,765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22752.0
200410,2004,10,2372.0,782.0,2325.0,2491.0,615.0,1530.0,1857.0,957.0,242.0,922.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14556.0
200411,2004,11,386.0,410.0,724.0,916.0,222.0,322.0,491.0,271.0,108.0,374.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4410.0
200412,2004,12,557.0,457.0,532.0,655.0,227.0,179.0,477.0,221.0,69.0,306.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3802.0
200501,2005,1,49.0,28.0,43.0,38.0,17.0,14.0,30.0,13.0,11.0,0.0,16.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0
200502,2005,2,157.0,18.0,58.0,142.0,33.0,16.0,40.0,17.0,16.0,46.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.0
200503,2005,3,1300.0,173.0,323.0,351.0,266.0,71.0,320.0,121.0,36.0,78.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3121.0
200504,2005,4,734.0,151.0,405.0,505.0,231.0,437.0,379.0,163.0,61.0,111.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3307.0
200505,2005,5,611.0,405.0,1207.0,1734.0,383.0,2130.0,1403.0,534.0,0.0,392.0,352.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,9310.0
200506,2005,6,1151.0,589.0,1516.0,2198.0,515.0,2911.0,1729.0,759.0,223.0,565.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12619.0
200507,2005,7,6462.0,789.0,1681.0,2262.0,2416.0,1190.0,1781.0,911.0,238.0,541.0,533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18804.0
200508,2005,8,5198.0,1763.0,3194.0,5113.0,3002.0,691.0,3229.0,1118.0,292.0,597.0,634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24831.0
200509,2005,9,2172.0,510.0,1484.0,2404.0,578.0,1459.0,1614.0,868.0,212.0,381.0,486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12168.0
200510,2005,10,786.0,208.0,901.0,1390.0,352.0,1288.0,797.0,423.0,148.0,220.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6873.0
200511,2005,11,98.0,90.0,218.0,331.0,59.0,158.0,176.0,64.0,75.0,46.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1388.0
200512,2005,12,109.0,69.0,123.0,96.0,32.0,26.0,88.0,41.0,40.0,0.0,28.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,668.0
200601,2006,1,31.0,22.0,62.0,47.0,31.0,24.0,43.0,23.0,11.0,0.0,16.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0
200602,2006,2,121.0,19.0,56.0,42.0,15.0,20.0,29.0,8.0,17.0,0.0,16.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,351.0
