,Anho,Mes,Identificador,TotalRegistros
0,2004,1,200401,643
1,2004,2,200402,1401
2,2004,3,200403,3105
3,2004,4,200404,15554
4,2004,5,200405,16860
5,2004,6,200406,19295
6,2004,7,200407,31891
7,2004,8,200408,45601
8,2004,9,200409,22752
9,2004,10,200410,14556
10,2004,11,200411,4410
11,2004,12,200412,3802
12,2005,1,200501,269
13,2005,2,200502,0
14,2005,3,200503,0
15,2005,4,200504,0
16,2005,5,200505,0
17,2005,6,200506,0
18,2005,7,200507,0
19,2005,8,200508,0
20,2005,9,200509,0
21,2005,10,200510,0
22,2005,11,200511,0
23,2005,12,200512,0
24,2006,1,200601,0
25,2006,2,200602,0
26,2006,3,200603,0
27,2006,4,200604,0
28,2006,5,200605,0
29,2006,6,200606,0
30,2006,7,200607,0
31,2006,8,200608,0
32,2006,9,200609,0
33,2006,10,200610,0
34,2006,11,200611,0
35,2006,12,200612,0
36,2007,1,200701,0
37,2007,2,200702,0
38,2007,3,200703,0
39,2007,4,200704,0
40,2007,5,200705,0
41,2007,6,200706,0
42,2007,7,200707,0
43,2007,8,200708,0
44,2007,9,200709,0
45,2004,1,200401,643
46,2004,2,200402,1401
47,2004,3,200403,3105
48,2004,4,200404,15554
49,2004,5,200405,16860
50,2004,6,200406,19295
51,2004,7,200407,31891
52,2004,8,200408,45601
53,2004,9,200409,22752
54,2004,10,200410,14556
55,2004,11,200411,4410
56,2004,12,200412,3802
57,2005,1,200501,269
58,2005,2,200502,0
59,2005,3,200503,0
60,2005,4,200504,0
61,2005,5,200505,0
62,2005,6,200506,0
63,2005,7,200507,0
64,2005,8,200508,0
65,2005,9,200509,0
66,2005,10,200510,0
67,2005,11,200511,0
68,2005,12,200512,0
69,2006,1,200601,0
70,2006,2,200602,0
71,2006,3,200603,0
72,2006,4,200604,0
73,2006,5,200605,0
74,2006,6,200606,0
75,2006,7,200607,0
76,2006,8,200608,0
77,2006,9,200609,0
78,2006,10,200610,0
79,2006,11,200611,0
80,2006,12,200612,0
81,2007,1,200701,0
82,2007,2,200702,0
83,2007,3,200703,0
84,2007,4,200704,0
85,2007,5,200705,0
86,2007,6,200706,0
87,2007,7,200707,0
88,2007,8,200708,0
89,2007,9,200709,0
90,2007,10,200710,0
91,2007,11,200711,0
92,2007,12,200712,0
93,2008,1,200801,0
94,2008,2,200802,0
95,2008,3,200803,0
96,2008,4,200804,0
97,2008,5,200805,0
98,2008,6,200806,0
99,2008,7,200807,0
100,2008,8,200808,0
101,2008,9,200809,0
102,2008,10,200810,0
103,2008,11,200811,0
104,2008,12,200812,0
105,2009,1,200901,0
