ID,Anho,Mes,Pie,Bicicleta,Caballo,Silla de ruedas,Vela,Total
200401,2004,1,599.0,44.0,0.0,0.0,0.0,643.0
200402,2004,2,1325.0,73.0,3.0,0.0,0.0,1401.0
200403,2004,3,2864.0,201.0,40.0,0.0,0.0,3105.0
200404,2004,4,14172.0,1282.0,100.0,0.0,0.0,15554.0
200405,2004,5,14312.0,2363.0,175.0,10.0,0.0,16860.0
200406,2004,6,15632.0,3476.0,176.0,11.0,0.0,19295.0
200407,2004,7,28124.0,3404.0,345.0,18.0,0.0,31891.0
200408,2004,8,39977.0,5229.0,385.0,10.0,0.0,45601.0
200409,2004,9,19312.0,3191.0,243.0,6.0,0.0,22752.0
200410,2004,10,12951.0,1496.0,106.0,3.0,0.0,14556.0
200411,2004,11,4066.0,308.0,34.0,2.0,0.0,4410.0
200412,2004,12,3555.0,183.0,64.0,0.0,0.0,3802.0
200501,2005,1,244.0,24.0,1.0,0.0,0.0,269.0
200502,2005,2,539.0,26.0,0.0,0.0,0.0,565.0
200503,2005,3,2790.0,321.0,10.0,0.0,0.0,3121.0
200504,2005,4,2968.0,329.0,9.0,1.0,0.0,3307.0
200505,2005,5,7348.0,1920.0,41.0,1.0,0.0,9310.0
200506,2005,6,9560.0,3039.0,18.0,2.0,0.0,12619.0
200507,2005,7,15810.0,2918.0,74.0,2.0,0.0,18804.0
200508,2005,8,19766.0,4991.0,60.0,14.0,0.0,24831.0
200509,2005,9,9807.0,2348.0,11.0,2.0,0.0,12168.0
200510,2005,10,5953.0,905.0,14.0,1.0,0.0,6873.0
200511,2005,11,1269.0,118.0,1.0,0.0,0.0,1388.0
200512,2005,12,621.0,44.0,3.0,0.0,0.0,668.0
200601,2006,1,299.0,23.0,2.0,0.0,0.0,324.0
200602,2006,2,329.0,22.0,0.0,0.0,0.0,351.0
200603,2006,3,1020.0,72.0,3.0,1.0,0.0,1096.0
200604,2006,4,6289.0,1135.0,26.0,1.0,0.0,7451.0
200605,2006,5,8254.0,1862.0,30.0,1.0,0.0,10147.0
200606,2006,6,9850.0,3112.0,48.0,1.0,0.0,13011.0
200607,2006,7,15732.0,2925.0,63.0,0.0,0.0,18720.0
200608,2006,8,20856.0,5274.0,50.0,3.0,0.0,26183.0
200609,2006,9,10687.0,2749.0,33.0,1.0,0.0,13470.0
200610,2006,10,6681.0,991.0,26.0,2.0,0.0,7700.0
200611,2006,11,1574.0,168.0,12.0,1.0,0.0,1755.0
200612,2006,12,782.0,65.0,1.0,0.0,0.0,848.0
200701,2007,1,322.0,28.0,0.0,0.0,0.0,350.0
200702,2007,2,638.0,27.0,0.0,0.0,0.0,665.0
200703,2007,3,1530.0,138.0,12.0,0.0,0.0,1680.0
200704,2007,4,6795.0,1283.0,36.0,1.0,0.0,8115.0
200705,2007,5,10701.0,2197.0,25.0,1.0,0.0,12924.0
200706,2007,6,11999.0,3136.0,46.0,1.0,0.0,15182.0
200707,2007,7,16959.0,3150.0,46.0,1.0,0.0,20156.0
200708,2007,8,21899.0,5297.0,91.0,2.0,0.0,27289.0
200709,2007,9,12306.0,2925.0,51.0,0.0,0.0,15282.0
200710,2007,10,8118.0,1274.0,50.0,1.0,0.0,9443.0
200711,2007,11,2230.0,259.0,7.0,0.0,0.0,2496.0
200712,2007,12,744.0,51.0,0.0,0.0,0.0,795.0
200801,2008,1,288.0,18.0,0.0,0.0,0.0,306.0
200802,2008,2,657.0,46.0,0.0,0.0,0.0,703.0
200803,2008,3,4665.0,628.0,34.0,0.0,0.0,5327.0
200804,2008,4,4815.0,826.0,6.0,1.0,0.0,5648.0
200805,2008,5,12799.0,3150.0,51.0,1.0,0.0,16001.0
200806,2008,6,12576.0,3293.0,32.0,3.0,0.0,15904.0
200807,2008,7,18085.0,2937.0,38.0,6.0,0.0,21066.0
200808,2008,8,24192.0,5741.0,47.0,16.0,0.0,29996.0
