ID,Anho,Mes,30-60,<30,>60,Sin establecer,Resto,Total
200401,2004,1,378.0,209.0,56.0,0.0,0.0,643.0
200402,2004,2,635.0,716.0,50.0,0.0,0.0,1401.0
200403,2004,3,1654.0,1264.0,187.0,0.0,0.0,3105.0
200404,2004,4,8025.0,6545.0,984.0,0.0,0.0,15554.0
200405,2004,5,11374.0,2656.0,2830.0,0.0,0.0,16860.0
200406,2004,6,12502.0,3975.0,2818.0,0.0,0.0,19295.0
200407,2004,7,14843.0,15289.0,1759.0,0.0,0.0,31891.0
200408,2004,8,21715.0,22588.0,1298.0,0.0,0.0,45601.0
200409,2004,9,12852.0,7565.0,2335.0,0.0,0.0,22752.0
200410,2004,10,8975.0,3933.0,1648.0,0.0,0.0,14556.0
200411,2004,11,3056.0,984.0,370.0,0.0,0.0,4410.0
200412,2004,12,2543.0,1037.0,222.0,0.0,0.0,3802.0
200501,2005,1,174.0,86.0,9.0,0.0,0.0,269.0
200502,2005,2,318.0,224.0,23.0,0.0,0.0,565.0
200503,2005,3,1352.0,1677.0,92.0,0.0,0.0,3121.0
200504,2005,4,1793.0,1042.0,472.0,0.0,0.0,3307.0
200505,2005,5,5954.0,1307.0,2049.0,0.0,0.0,9310.0
200506,2005,6,7813.0,2090.0,2716.0,0.0,0.0,12619.0
200507,2005,7,9232.0,8368.0,1204.0,0.0,0.0,18804.0
200508,2005,8,14345.0,9681.0,805.0,0.0,0.0,24831.0
200509,2005,9,6905.0,3650.0,1613.0,0.0,0.0,12168.0
200510,2005,10,4064.0,1548.0,1261.0,0.0,0.0,6873.0
200511,2005,11,907.0,341.0,140.0,0.0,0.0,1388.0
200512,2005,12,437.0,202.0,29.0,0.0,0.0,668.0
200601,2006,1,218.0,87.0,19.0,0.0,0.0,324.0
200602,2006,2,166.0,167.0,18.0,0.0,0.0,351.0
200603,2006,3,535.0,493.0,68.0,0.0,0.0,1096.0
200604,2006,4,3635.0,3257.0,559.0,0.0,0.0,7451.0
200605,2006,5,6209.0,1418.0,2520.0,0.0,0.0,10147.0
200606,2006,6,8068.0,2069.0,2874.0,0.0,0.0,13011.0
200607,2006,7,8970.0,8606.0,1144.0,0.0,0.0,18720.0
200608,2006,8,14502.0,10793.0,888.0,0.0,0.0,26183.0
200609,2006,9,7561.0,3742.0,2167.0,0.0,0.0,13470.0
200610,2006,10,4670.0,1583.0,1447.0,0.0,0.0,7700.0
200611,2006,11,1090.0,452.0,213.0,0.0,0.0,1755.0
200612,2006,12,573.0,223.0,52.0,0.0,0.0,848.0
200701,2007,1,231.0,99.0,20.0,0.0,0.0,350.0
200702,2007,2,320.0,321.0,24.0,0.0,0.0,665.0
200703,2007,3,735.0,812.0,133.0,0.0,0.0,1680.0
200704,2007,4,4484.0,2658.0,973.0,0.0,0.0,8115.0
