ID,Anho,Mes,Europa,América del Norte,Oceanía,América del Sur,Asia,Africa,África,Resto,Sin establecer,Total
200401,2004,1,608.0,13.0,10.0,7.0,5.0,0.0,0.0,0.0,0.0,643.0
200402,2004,2,1332.0,30.0,2.0,31.0,3.0,3.0,0.0,0.0,0.0,1401.0
200403,2004,3,2986.0,66.0,4.0,34.0,15.0,0.0,0.0,0.0,0.0,3105.0
200404,2004,4,14934.0,320.0,38.0,223.0,27.0,12.0,0.0,0.0,0.0,15554.0
200405,2004,5,15629.0,593.0,108.0,487.0,24.0,19.0,0.0,0.0,0.0,16860.0
200406,2004,6,17831.0,763.0,95.0,527.0,53.0,26.0,0.0,0.0,0.0,19295.0
200407,2004,7,30615.0,679.0,55.0,444.0,67.0,31.0,0.0,0.0,0.0,31891.0
200408,2004,8,44785.0,282.0,25.0,429.0,59.0,21.0,0.0,0.0,0.0,45601.0
200409,2004,9,21544.0,574.0,93.0,472.0,52.0,17.0,0.0,0.0,0.0,22752.0
200410,2004,10,13169.0,689.0,104.0,526.0,44.0,24.0,0.0,0.0,0.0,14556.0
200411,2004,11,3914.0,129.0,27.0,322.0,17.0,1.0,0.0,0.0,0.0,4410.0
200412,2004,12,3658.0,46.0,13.0,73.0,12.0,0.0,0.0,0.0,0.0,3802.0
200501,2005,1,229.0,21.0,4.0,13.0,2.0,0.0,0.0,0.0,0.0,269.0
200502,2005,2,536.0,5.0,1.0,9.0,14.0,0.0,0.0,0.0,0.0,565.0
200503,2005,3,2898.0,111.0,13.0,71.0,26.0,2.0,0.0,0.0,0.0,3121.0
200504,2005,4,3009.0,177.0,40.0,65.0,13.0,3.0,0.0,0.0,0.0,3307.0
200505,2005,5,8244.0,534.0,141.0,322.0,43.0,26.0,0.0,0.0,0.0,9310.0
200506,2005,6,11233.0,785.0,129.0,355.0,55.0,62.0,0.0,0.0,0.0,12619.0
200507,2005,7,17662.0,718.0,65.0,283.0,38.0,38.0,0.0,0.0,0.0,18804.0
200508,2005,8,24079.0,328.0,51.0,282.0,69.0,22.0,0.0,0.0,0.0,24831.0
200509,2005,9,11149.0,513.0,163.0,267.0,54.0,22.0,0.0,0.0,0.0,12168.0
200510,2005,10,5688.0,663.0,137.0,318.0,45.0,22.0,0.0,0.0,0.0,6873.0
200511,2005,11,1149.0,108.0,42.0,70.0,16.0,3.0,0.0,0.0,0.0,1388.0
200512,2005,12,592.0,28.0,6.0,28.0,13.0,1.0,0.0,0.0,0.0,668.0
200601,2006,1,287.0,8.0,1.0,20.0,7.0,1.0,0.0,0.0,0.0,324.0
200602,2006,2,326.0,13.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,351.0
200603,2006,3,983.0,66.0,10.0,27.0,10.0,0.0,0.0,0.0,0.0,1096.0
200604,2006,4,7020.0,204.0,28.0,183.0,11.0,5.0,0.0,0.0,0.0,7451.0
200605,2006,5,8973.0,589.0,154.0,343.0,59.0,29.0,0.0,0.0,0.0,10147.0
200606,2006,6,11550.0,758.0,208.0,352.0,72.0,71.0,0.0,0.0,0.0,13011.0
200607,2006,7,17582.0,666.0,87.0,261.0,77.0,47.0,0.0,0.0,0.0,18720.0
200608,2006,8,25452.0,319.0,41.0,282.0,68.0,21.0,0.0,0.0,0.0,26183.0
200609,2006,9,12398.0,522.0,106.0,334.0,67.0,43.0,0.0,0.0,0.0,13470.0
200610,2006,10,6405.0,692.0,169.0,310.0,81.0,43.0,0.0,0.0,0.0,7700.0
200611,2006,11,1445.0,125.0,62.0,91.0,23.0,9.0,0.0,0.0,0.0,1755.0
200612,2006,12,749.0,38.0,8.0,38.0,15.0,0.0,0.0,0.0,0.0,848.0
200701,2007,1,284.0,31.0,3.0,20.0,12.0,0.0,0.0,0.0,0.0,350.0
200702,2007,2,597.0,33.0,4.0,21.0,10.0,0.0,0.0,0.0,0.0,665.0
200703,2007,3,1533.0,69.0,5.0,58.0,14.0,1.0,0.0,0.0,0.0,1680.0
200704,2007,4,7495.0,326.0,51.0,173.0,41.0,29.0,0.0,0.0,0.0,8115.0
200705,2007,5,11580.0,675.0,190.0,359.0,91.0,29.0,0.0,0.0,0.0,12924.0
200706,2007,6,13398.0,911.0,217.0,424.0,141.0,91.0,0.0,0.0,0.0,15182.0
200707,2007,7,18878.0,726.0,77.0,325.0,106.0,44.0,0.0,0.0,0.0,20156.0
200708,2007,8,26333.0,351.0,48.0,376.0,161.0,20.0,0.0,0.0,0.0,27289.0
200709,2007,9,13938.0,651.0,136.0,381.0,111.0,65.0,0.0,0.0,0.0,15282.0
200710,2007,10,8102.0,654.0,178.0,310.0,168.0,31.0,0.0,0.0,0.0,9443.0
200711,2007,11,2065.0,197.0,70.0,102.0,55.0,7.0,0.0,0.0,0.0,2496.0
200712,2007,12,712.0,28.0,7.0,30.0,15.0,3.0,0.0,0.0,0.0,795.0
200801,2008,1,260.0,11.0,3.0,17.0,15.0,0.0,0.0,0.0,0.0,306.0
200802,2008,2,628.0,17.0,4.0,36.0,17.0,1.0,0.0,0.0,0.0,703.0
200803,2008,3,4960.0,177.0,11.0,133.0,35.0,11.0,0.0,0.0,0.0,5327.0
200804,2008,4,5133.0,215.0,83.0,118.0,84.0,15.0,0.0,0.0,0.0,5648.0
200805,2008,5,14406.0,802.0,217.0,346.0,187.0,43.0,0.0,0.0,0.0,16001.0
200806,2008,6,14127.0,864.0,212.0,428.0,199.0,74.0,0.0,0.0,0.0,15904.0
200807,2008,7,19547.0,863.0,108.0,310.0,189.0,49.0,0.0,0.0,0.0,21066.0
200808,2008,8,28965.0,386.0,53.0,338.0,233.0,21.0,0.0,0.0,0.0,29996.0
200809,2008,9,16011.0,598.0,174.0,374.0,164.0,57.0,0.0,0.0,0.0,17378.0
200810,2008,10,8303.0,717.0,248.0,350.0,222.0,38.0,0.0,0.0,0.0,9878.0
200811,2008,11,1859.0,183.0,67.0,106.0,88.0,6.0,0.0,0.0,0.0,2309.0
200812,2008,12,997.0,32.0,6.0,28.0,22.0,0.0,0.0,0.0,0.0,1085.0
200901,2009,1,413.0,15.0,2.0,36.0,57.0,0.0,0.0,0.0,0.0,523.0
200902,2009,2,632.0,22.0,5.0,19.0,20.0,0.0,0.0,0.0,0.0,698.0
200903,2009,3,1702.0,82.0,7.0,30.0,26.0,3.0,0.0,0.0,0.0,1850.0
200904,2009,4,9560.0,381.0,74.0,193.0,89.0,19.0,0.0,0.0,0.0,10316.0
