ID,Year,Month,Description,Total,Percent
200401,2004,1,Estudiantes,144,22.3950233281493
200401,2004,1,Obreros,94,14.618973561430794
200401,2004,1,Liberales,87,13.530326594090202
200401,2004,1,Empleados,64,9.953343701399689
200401,2004,1,Profesores,54,8.398133748055988
200401,2004,1,Jubilados,50,7.776049766718507
200401,2004,1,Tecnicos,47,7.309486780715397
200401,2004,1,Funcionarios,34,5.287713841368585
200401,2004,1,Parados,23,3.576982892690513
200401,2004,1,Amas de Casa,22,3.421461897356143
200401,2004,1,Resto,24,3.7325038880248833
200402,2004,2,Estudiantes,486,34.68950749464668
200402,2004,2,Liberales,185,13.204853675945753
200402,2004,2,Obreros,143,10.20699500356888
200402,2004,2,Tecnicos,133,9.493219129193433
200402,2004,2,Empleados,113,8.065667380442541
200402,2004,2,Funcionarios,91,6.4953604568165595
200402,2004,2,Profesores,82,5.8529621698786585
200402,2004,2,Jubilados,45,3.2119914346895073
200402,2004,2,Amas de Casa,45,3.2119914346895073
200402,2004,2,Parados,29,2.0699500356887937
200402,2004,2,Resto,49,3.4975017844396863
200403,2004,3,Estudiantes,822,26.47342995169082
200403,2004,3,Obreros,376,12.10950080515298
200403,2004,3,Empleados,358,11.529790660225443
200403,2004,3,Liberales,349,11.239935587761675
200403,2004,3,Tecnicos,283,9.114331723027375
200403,2004,3,Funcionarios,251,8.083735909822867
200403,2004,3,Amas de Casa,210,6.763285024154589
200403,2004,3,Jubilados,157,5.056360708534622
200403,2004,3,Profesores,132,4.251207729468599
200403,2004,3,Parados,81,2.608695652173913
200403,2004,3,Resto,86,2.769726247987118
200404,2004,4,Estudiantes,4552,29.265783721229266
200404,2004,4,Empleados,2097,13.482062491963482
200404,2004,4,Liberales,1968,12.652693840812653
200404,2004,4,Obreros,1442,9.270927092709272
200404,2004,4,Tecnicos,1386,8.910891089108912
200404,2004,4,Profesores,1050,6.750675067506751
200404,2004,4,Amas de Casa,833,5.355535553555356
200404,2004,4,Jubilados,829,5.32981869615533
200404,2004,4,Funcionarios,813,5.226951266555227
200404,2004,4,Parados,240,1.543011444001543
200404,2004,4,Resto,344,2.2116497364022116
200405,2004,5,Empleados,3626,21.50652431791222
200405,2004,5,Jubilados,2640,15.658362989323843
200405,2004,5,Liberales,2512,14.899169632265718
200405,2004,5,Tecnicos,1940,11.506524317912218
200405,2004,5,Amas de Casa,1334,7.912218268090154
200405,2004,5,Funcionarios,1220,7.236061684460261
200405,2004,5,Estudiantes,1196,7.093712930011862
200405,2004,5,Obreros,1047,6.209964412811388
200405,2004,5,Profesores,598,3.546856465005931
200405,2004,5,Parados,255,1.5124555160142348
200405,2004,5,Resto,492,2.9181494661921707
200406,2004,6,Empleados,3738,19.372894532262244
200406,2004,6,Liberales,2700,13.993262503239182
200406,2004,6,Jubilados,2486,12.884166882612076
200406,2004,6,Tecnicos,2320,12.023840373153666
200406,2004,6,Estudiantes,2163,11.210158072039388
200406,2004,6,Funcionarios,1467,7.603005960093288
200406,2004,6,Obreros,1371,7.1054677377558955
200406,2004,6,Amas de Casa,1276,6.613112205234517
200406,2004,6,Profesores,857,4.441565172324436
200406,2004,6,Parados,329,1.7051049494687742
200406,2004,6,Resto,588,3.047421611816533
200407,2004,7,Estudiantes,12030,37.72224138471669
200407,2004,7,Empleados,3855,12.088049920040136
200407,2004,7,Profesores,3119,9.78018876799097
200407,2004,7,Liberales,2985,9.360007525634192
200407,2004,7,Tecnicos,2668,8.365996676178233
200407,2004,7,Funcionarios,1729,5.421592298767678
200407,2004,7,Jubilados,1546,4.847762691668496
200407,2004,7,Amas de Casa,1443,4.5247875576181364
200407,2004,7,Obreros,1391,4.361732150136402
200407,2004,7,Parados,274,0.8591765701922173
200407,2004,7,Resto,851,2.66846445705685
200408,2004,8,Estudiantes,15568,34.139602201706104
200408,2004,8,Empleados,7109,15.589570404157804
200408,2004,8,Liberales,5320,11.666410824324029
200408,2004,8,Tecnicos,4154,9.10944935418083
200408,2004,8,Profesores,3909,8.572180434639591
200408,2004,8,Obreros,3219,7.059055722462227
200408,2004,8,Amas de Casa,1754,3.84640687704217
200408,2004,8,Funcionarios,1581,3.4670292318150917
200408,2004,8,Jubilados,963,2.111795793951887
200408,2004,8,Sacerdotes,573,1.256551391416855
200408,2004,8,Resto,1451,3.181947764303414
200409,2004,9,Estudiantes,4841,21.27725035161744
200409,2004,9,Empleados,4270,18.76758087201125
200409,2004,9,Liberales,2965,13.031821378340366
200409,2004,9,Tecnicos,2714,11.928621659634318
200409,2004,9,Jubilados,2053,9.023382559774964
200409,2004,9,Funcionarios,1410,6.197257383966245
200409,2004,9,Obreros,1289,5.665436005625879
200409,2004,9,Amas de Casa,1241,5.454465541490858
200409,2004,9,Profesores,934,4.105133614627285
200409,2004,9,Parados,270,1.1867088607594938
200409,2004,9,Resto,765,3.3623417721518987
200410,2004,10,Empleados,2491,17.113217917010168
200410,2004,10,Estudiantes,2372,16.29568562791976
200410,2004,10,Liberales,2325,15.972794723825226
200410,2004,10,Tecnicos,1857,12.757625721352019
200410,2004,10,Jubilados,1530,10.511129431162407
200410,2004,10,Funcionarios,957,6.574608408903545
200410,2004,10,Amas de Casa,922,6.33415773564166
200410,2004,10,Obreros,782,5.372355042594119
200410,2004,10,Profesores,615,4.225061830173124
200410,2004,10,Parados,242,1.6625446551250342
200410,2004,10,Resto,463,3.1808189062929375
200411,2004,11,Empleados,916,20.77097505668934
200411,2004,11,Liberales,724,16.417233560090704
200411,2004,11,Tecnicos,491,11.133786848072562
200411,2004,11,Obreros,410,9.297052154195011
200411,2004,11,Estudiantes,386,8.75283446712018
200411,2004,11,Amas de Casa,374,8.480725623582767
200411,2004,11,Jubilados,322,7.301587301587301
200411,2004,11,Funcionarios,271,6.145124716553288
200411,2004,11,Profesores,222,5.034013605442177
200411,2004,11,Parados,108,2.4489795918367347
200411,2004,11,Resto,186,4.217687074829931
200412,2004,12,Empleados,655,17.227774855339295
200412,2004,12,Estudiantes,557,14.650184113624409
200412,2004,12,Liberales,532,13.992635455023672
200412,2004,12,Tecnicos,477,12.546028406102051
200412,2004,12,Obreros,457,12.019989479221463
200412,2004,12,Amas de Casa,306,8.048395581273015
200412,2004,12,Profesores,227,5.970541820094687
200412,2004,12,Funcionarios,221,5.81273014203051
200412,2004,12,Jubilados,179,4.708048395581273
200412,2004,12,Parados,69,1.8148342977380325
200412,2004,12,Resto,122,3.208837453971594
200501,2005,1,Estudiantes,49,18.21561338289963
200501,2005,1,Liberales,43,15.985130111524164
200501,2005,1,Empleados,38,14.12639405204461
200501,2005,1,Tecnicos,30,11.152416356877323
200501,2005,1,Obreros,28,10.408921933085502
200501,2005,1,Profesores,17,6.319702602230484
200501,2005,1,Jubilados,14,5.204460966542751
200501,2005,1,Funcionarios,13,4.83271375464684
200501,2005,1,Parados,11,4.089219330855019
200501,2005,1,Artistas,10,3.717472118959108
200501,2005,1,Resto,16,5.947955390334572
200502,2005,2,Estudiantes,157,27.787610619469028
200502,2005,2,Empleados,142,25.13274336283186
200502,2005,2,Liberales,58,10.265486725663717
200502,2005,2,Amas de Casa,46,8.141592920353983
200502,2005,2,Tecnicos,40,7.079646017699115
200502,2005,2,Profesores,33,5.84070796460177
200502,2005,2,Obreros,18,3.185840707964602
200502,2005,2,Funcionarios,17,3.0088495575221237
200502,2005,2,Parados,16,2.831858407079646
200502,2005,2,Jubilados,16,2.831858407079646
200502,2005,2,Resto,22,3.893805309734513
200503,2005,3,Estudiantes,1300,41.65331624479334
200503,2005,3,Empleados,351,11.2463953860942
200503,2005,3,Liberales,323,10.349247036206345
200503,2005,3,Tecnicos,320,10.25312399871836
200503,2005,3,Profesores,266,8.522909323934636
200503,2005,3,Obreros,173,5.543095161807113
200503,2005,3,Funcionarios,121,3.8769625120153797
200503,2005,3,Amas de Casa,78,2.4991989746876
200503,2005,3,Jubilados,71,2.274911887215636
200503,2005,3,Parados,36,1.1534764498558154
200503,2005,3,Resto,82,2.62736302467158
200504,2005,4,Estudiantes,734,22.19534321136982
200504,2005,4,Empleados,505,15.270638040520108
200504,2005,4,Jubilados,437,13.21439371031146
200504,2005,4,Liberales,405,12.246749319625037
200504,2005,4,Tecnicos,379,11.46053825219232
200504,2005,4,Profesores,231,6.985182945267614
200504,2005,4,Funcionarios,163,4.928938615058966
200504,2005,4,Obreros,151,4.566071968551557
200504,2005,4,Amas de Casa,111,3.356516480193529
200504,2005,4,Parados,61,1.8445721197459934
200504,2005,4,Resto,130,3.931055337163592
200505,2005,5,Jubilados,2130,22.878625134264233
200505,2005,5,Empleados,1734,18.62513426423201
200505,2005,5,Tecnicos,1403,15.06981740064447
200505,2005,5,Liberales,1207,12.964554242749731
200505,2005,5,Estudiantes,611,6.5628356605800215
200505,2005,5,Funcionarios,534,5.735767991407089
200505,2005,5,Obreros,405,4.35016111707841
200505,2005,5,Amas de Casa,392,4.2105263157894735
200505,2005,5,Profesores,383,4.113856068743287
200505,2005,5,Directivos,159,1.7078410311493017
200505,2005,5,Resto,352,3.7808807733619765
200506,2005,6,Jubilados,2911,23.068388937316744
200506,2005,6,Empleados,2198,17.41817893652429
200506,2005,6,Tecnicos,1729,13.701561137966559
200506,2005,6,Liberales,1516,12.013630240114114
200506,2005,6,Estudiantes,1151,9.121166494967905
200506,2005,6,Funcionarios,759,6.014739678262937
200506,2005,6,Obreros,589,4.667564783263333
200506,2005,6,Amas de Casa,565,4.477375386322213
200506,2005,6,Profesores,515,4.081147476028211
200506,2005,6,Parados,223,1.767176479911245
200506,2005,6,Resto,463,3.6690704493224504
200507,2005,7,Estudiantes,6462,34.365028717294194
200507,2005,7,Profesores,2416,12.848330142522867
200507,2005,7,Empleados,2262,12.029355456285897
200507,2005,7,Tecnicos,1781,9.471389066156137
200507,2005,7,Liberales,1681,8.939587321846416
200507,2005,7,Jubilados,1190,6.328440757285684
200507,2005,7,Funcionarios,911,4.844713890661561
200507,2005,7,Obreros,789,4.195915762603701
200507,2005,7,Amas de Casa,541,2.8770474367155923
200507,2005,7,Parados,238,1.2656881514571368
200507,2005,7,Resto,533,2.834503297170815
200508,2005,8,Estudiantes,5198,20.93351053119085
200508,2005,8,Empleados,5113,20.591196488260643
200508,2005,8,Tecnicos,3229,13.003906407313439
200508,2005,8,Liberales,3194,12.862953566106883
200508,2005,8,Profesores,3002,12.08972655148806
200508,2005,8,Obreros,1763,7.099995972775965
200508,2005,8,Funcionarios,1118,4.502436470540856
200508,2005,8,Jubilados,691,2.782811807820869
200508,2005,8,Amas de Casa,597,2.4042527485804035
200508,2005,8,Parados,292,1.175949418066127
200508,2005,8,Resto,634,2.5532600378559063
200509,2005,9,Empleados,2404,19.756738987508218
200509,2005,9,Estudiantes,2172,17.850098619329387
200509,2005,9,Tecnicos,1614,13.264299802761341
200509,2005,9,Liberales,1484,12.195923734385273
200509,2005,9,Jubilados,1459,11.990466798159106
200509,2005,9,Funcionarios,868,7.133464825772518
200509,2005,9,Profesores,578,4.750164365548981
200509,2005,9,Obreros,510,4.191321499013807
200509,2005,9,Amas de Casa,381,3.131163708086785
200509,2005,9,Parados,212,1.742274819197896
200509,2005,9,Resto,486,3.9940828402366866
200510,2005,10,Empleados,1390,20.224065182598576
200510,2005,10,Jubilados,1288,18.739997090062563
200510,2005,10,Liberales,901,13.10926815073476
200510,2005,10,Tecnicos,797,11.596100683835298
200510,2005,10,Estudiantes,786,11.436054124836316
200510,2005,10,Funcionarios,423,6.154517677869926
200510,2005,10,Profesores,352,5.1214898879674084
200510,2005,10,Amas de Casa,220,3.2009311799796305
200510,2005,10,Obreros,208,3.0263349337989234
200510,2005,10,Parados,148,2.1533537028953877
200510,2005,10,Resto,360,5.237887385421214
200511,2005,11,Empleados,331,23.847262247838618
200511,2005,11,Liberales,218,15.706051873198847
200511,2005,11,Tecnicos,176,12.680115273775217
200511,2005,11,Jubilados,158,11.38328530259366
200511,2005,11,Estudiantes,98,7.060518731988473
200511,2005,11,Obreros,90,6.484149855907781
200511,2005,11,Parados,75,5.403458213256484
200511,2005,11,Funcionarios,64,4.610951008645533
200511,2005,11,Profesores,59,4.250720461095101
200511,2005,11,Amas de Casa,46,3.314121037463977
200511,2005,11,Resto,73,5.259365994236312
200512,2005,12,Liberales,123,18.41317365269461
200512,2005,12,Estudiantes,109,16.317365269461078
200512,2005,12,Empleados,96,14.37125748502994
200512,2005,12,Tecnicos,88,13.173652694610778
200512,2005,12,Obreros,69,10.32934131736527
200512,2005,12,Funcionarios,41,6.137724550898204
200512,2005,12,Parados,40,5.9880239520958085
200512,2005,12,Profesores,32,4.790419161676646
200512,2005,12,Jubilados,26,3.8922155688622753
200512,2005,12,Artistas,16,2.395209580838323
200512,2005,12,Resto,28,4.191616766467066
200601,2006,1,Liberales,62,19.135802469135804
200601,2006,1,Empleados,47,14.506172839506172
200601,2006,1,Tecnicos,43,13.271604938271604
200601,2006,1,Profesores,31,9.567901234567902
200601,2006,1,Estudiantes,31,9.567901234567902
200601,2006,1,Jubilados,24,7.407407407407407
200601,2006,1,Funcionarios,23,7.098765432098766
200601,2006,1,Obreros,22,6.790123456790123
200601,2006,1,Artistas,14,4.320987654320987
200601,2006,1,Parados,11,3.3950617283950617
200601,2006,1,Resto,16,4.938271604938271
200602,2006,2,Estudiantes,121,34.472934472934476
200602,2006,2,Liberales,56,15.954415954415955
200602,2006,2,Empleados,42,11.965811965811966
200602,2006,2,Tecnicos,29,8.262108262108262
200602,2006,2,Jubilados,20,5.698005698005698
200602,2006,2,Obreros,19,5.413105413105413
200602,2006,2,Parados,17,4.843304843304844
200602,2006,2,Profesores,15,4.273504273504273
200602,2006,2,Funcionarios,8,2.2792022792022792
200602,2006,2,Agricultores,8,2.2792022792022792
200602,2006,2,Resto,16,4.558404558404558
200603,2006,3,Estudiantes,380,34.67153284671533
200603,2006,3,Empleados,161,14.68978102189781
200603,2006,3,Liberales,147,13.412408759124087
200603,2006,3,Jubilados,93,8.485401459854014
200603,2006,3,Profesores,90,8.211678832116789
200603,2006,3,Tecnicos,70,6.386861313868613
200603,2006,3,Obreros,33,3.010948905109489
200603,2006,3,Funcionarios,30,2.7372262773722627
200603,2006,3,Parados,28,2.5547445255474455
200603,2006,3,Amas de Casa,21,1.916058394160584
200603,2006,3,Resto,43,3.923357664233577
200604,2006,4,Estudiantes,2442,32.77412427862032
200604,2006,4,Empleados,1050,14.092068178767951
200604,2006,4,Liberales,867,11.636022010468393
200604,2006,4,Tecnicos,862,11.568916923902831
200604,2006,4,Profesores,614,8.240504630250973
200604,2006,4,Jubilados,538,7.220507314454435
200604,2006,4,Funcionarios,304,4.07998926318615
200604,2006,4,Obreros,265,3.5565695879747685
200604,2006,4,Amas de Casa,171,2.294993960542209
200604,2006,4,Directivos,95,1.2749966447456718
200604,2006,4,Resto,243,3.2613072070862974
200605,2006,5,Jubilados,2577,25.396668966196906
200605,2006,5,Empleados,1854,18.271410269045038
200605,2006,5,Liberales,1440,14.19138661673401
200605,2006,5,Tecnicos,1289,12.70326204789593
200605,2006,5,Estudiantes,639,6.297427811175717
200605,2006,5,Funcionarios,545,5.371045629250025
200605,2006,5,Obreros,414,4.080023652311028
200605,2006,5,Profesores,401,3.951906967576624
200605,2006,5,Amas de Casa,358,3.528136394993594
200605,2006,5,Parados,250,2.463782398738543
200605,2006,5,Resto,380,3.744949246082586
200606,2006,6,Jubilados,2998,23.04204134962724
200606,2006,6,Empleados,2302,17.692721543309506
200606,2006,6,Liberales,1791,13.765275536084852
200606,2006,6,Tecnicos,1707,13.119667973253401
200606,2006,6,Estudiantes,1053,8.093151948351395
200606,2006,6,Funcionarios,851,6.540619475828145
200606,2006,6,Profesores,600,4.611482591653217
200606,2006,6,Obreros,563,4.327107831834602
200606,2006,6,Amas de Casa,429,3.2972100530320496
200606,2006,6,Parados,276,2.1212819921604797
200606,2006,6,Resto,441,3.3894397048651146
200607,2006,7,Estudiantes,6768,36.15384615384615
200607,2006,7,Profesores,2429,12.975427350427351
200607,2006,7,Empleados,2229,11.907051282051283
200607,2006,7,Tecnicos,1785,9.53525641025641
200607,2006,7,Liberales,1675,8.947649572649572
200607,2006,7,Jubilados,1125,6.009615384615385
200607,2006,7,Funcionarios,818,4.369658119658119
200607,2006,7,Obreros,733,3.9155982905982905
200607,2006,7,Amas de Casa,452,2.4145299145299144
200607,2006,7,Parados,197,1.0523504273504274
200607,2006,7,Resto,509,2.7190170940170946
200608,2006,8,Estudiantes,6222,23.76351067486537
