,ID,Year,Month,Description,Total,Percent
0,200401,2004,1,Sarria,152,23.63919129082426
1,200401,2004,1,Cebreiro,120,18.662519440124417
2,200401,2004,1,Vilafranca,53,8.242612752721618
3,200401,2004,1,Ponferrada,49,7.620528771384137
4,200401,2004,1,Roncesvalles,31,4.821150855365475
5,200401,2004,1,S. Jean P. Port,30,4.665629860031104
6,200401,2004,1,Astorga,29,4.510108864696734
7,200401,2004,1,León,23,3.576982892690513
8,200401,2004,1,Madrid - V.P.,17,2.6438569206842923
9,200401,2004,1,Pamplona,15,2.332814930015552
10,200401,2004,1,Resto,124,19.284603421461906
11,200402,2004,2,Sarria,513,36.61670235546038
12,200402,2004,2,Cebreiro,167,11.92005710206995
13,200402,2004,2,Tui,117,8.35117773019272
14,200402,2004,2,Roncesvalles,83,5.924339757316202
15,200402,2004,2,León,58,4.139900071377587
16,200402,2004,2,Ponferrada,50,3.5688793718772307
17,200402,2004,2,S. Jean P. Port,40,2.8551034975017844
18,200402,2004,2,Ferrol,34,2.4268379728765166
19,200402,2004,2,Astorga,34,2.4268379728765166
20,200402,2004,2,Vilafranca,29,2.0699500356887937
21,200402,2004,2,Resto,276,19.700214132762316
22,200403,2004,3,Sarria,742,23.89694041867955
23,200403,2004,3,Cebreiro,576,18.55072463768116
24,200403,2004,3,Tui,325,10.466988727858293
25,200403,2004,3,Roncesvalles,218,7.020933977455717
26,200403,2004,3,León,154,4.959742351046699
27,200403,2004,3,Ponferrada,145,4.669887278582931
28,200403,2004,3,Astorga,127,4.090177133655395
29,200403,2004,3,Ferrol,92,2.962962962962963
30,200403,2004,3,Vilafranca,64,2.0611916264090175
31,200403,2004,3,S. Jean P. Port,60,1.932367149758454
32,200403,2004,3,Resto,602,19.388083735909834
33,200404,2004,4,Sarria,4851,31.18811881188119
34,200404,2004,4,Cebreiro,2362,15.185804294715187
35,200404,2004,4,Tui,1462,9.3995113797094
36,200404,2004,4,Roncesvalles,783,5.0340748360550345
37,200404,2004,4,Ponferrada,757,4.866915262954867
38,200404,2004,4,León,605,3.8896746817538896
39,200404,2004,4,Vilafranca,536,3.446058891603446
40,200404,2004,4,Astorga,509,3.2724701041532724
41,200404,2004,4,Ourense,464,2.983155458402983
42,200404,2004,4,S. Jean P. Port,392,2.5202520252025202
43,200404,2004,4,Resto,2833,18.21396425356823
44,200405,2004,5,Sarria,2829,16.77935943060498
45,200405,2004,5,Cebreiro,2040,12.099644128113878
46,200405,2004,5,Roncesvalles,1548,9.181494661921707
47,200405,2004,5,S. Jean P. Port,1361,8.072360616844602
48,200405,2004,5,Tui,1078,6.393831553973903
49,200405,2004,5,León,1020,6.049822064056939
50,200405,2004,5,Ponferrada,809,4.798339264531435
51,200405,2004,5,Astorga,573,3.398576512455516
52,200405,2004,5,Pamplona,460,2.7283511269276395
53,200405,2004,5,Burgos,415,2.4614472123368922
54,200405,2004,5,Resto,4727,28.036773428232497
55,200406,2004,6,Sarria,3314,17.17543405027209
56,200406,2004,6,Cebreiro,2466,12.780513086291785
57,200406,2004,6,Roncesvalles,1948,10.095879761596269
58,200406,2004,6,S. Jean P. Port,1689,8.75356309924851
59,200406,2004,6,León,911,4.72143042238922
