ID,Year,Month,Description,Total,Percent
200401,2004,1,Frances-Camino de,566,88.0248833592535
200401,2004,1,Via de la Plata,25,3.8880248833592534
200401,2004,1,Primitivo-Camino,17,2.6438569206842923
200401,2004,1,Portugues-Camino,16,2.488335925349922
200401,2004,1,Norte-Camino de,14,2.177293934681182
200401,2004,1,Ingles-Camino,5,0.7776049766718507
200402,2004,2,Frances-Camino de,1124,80.22840827980015
200402,2004,2,Portugues-Camino,157,11.206281227694504
200402,2004,2,Norte-Camino de,41,2.9264810849393292
200402,2004,2,Ingles-Camino,34,2.4268379728765166
200402,2004,2,Costa Camino Portugues  ,21,1.4989293361884368
200402,2004,2,Via de la Plata,20,1.4275517487508922
200402,2004,2,Otros caminos,4,0.28551034975017847
200403,2004,3,Frances-Camino de,2349,75.65217391304348
200403,2004,3,Portugues-Camino,368,11.851851851851851
200403,2004,3,Ingles-Camino,141,4.541062801932367
200403,2004,3,Norte-Camino de,103,3.317230273752013
200403,2004,3,Via de la Plata,92,2.962962962962963
200403,2004,3,Costa Camino Portugues  ,43,1.3848631239935587
200403,2004,3,Primitivo-Camino,9,0.2898550724637681
200404,2004,4,Frances-Camino de,12024,77.3048733444773
200404,2004,4,Portugues-Camino,1990,12.794136556512795
200404,2004,4,Via de la Plata,735,4.725472547254726
200404,2004,4,Ingles-Camino,290,1.8644721615018645
200404,2004,4,Norte-Camino de,256,1.6458788736016459
200404,2004,4,Costa Camino Portugues  ,142,0.9129484377009129
200404,2004,4,Primitivo-Camino,100,0.6429214350006429
200404,2004,4,Otros caminos,17,0.1092966439501093
200405,2004,5,Frances-Camino de,13485,79.98220640569394
200405,2004,5,Portugues-Camino,1499,8.890865954922894
200405,2004,5,Via de la Plata,704,4.1755634638196915
200405,2004,5,Norte-Camino de,545,3.232502965599051
200405,2004,5,Ingles-Camino,326,1.933570581257414
200405,2004,5,Costa Camino Portugues  ,162,0.9608540925266904
200405,2004,5,Primitivo-Camino,120,0.7117437722419929
200405,2004,5,Otros caminos,18,0.10676156583629894
200405,2004,5,Muxia-Finisterre,1,0.005931198102016607
200406,2004,6,Frances-Camino de,15983,82.83493132935993
200406,2004,6,Portugues-Camino,1094,5.669862658719875
200406,2004,6,Via de la Plata,803,4.161699922259653
200406,2004,6,Norte-Camino de,740,3.8351904638507386
200406,2004,6,Primitivo-Camino,315,1.6325472920445712
200406,2004,6,Ingles-Camino,258,1.337133972531744
200406,2004,6,Costa Camino Portugues  ,87,0.4508940139932625
200406,2004,6,Otros caminos,15,0.07774034724021767
200407,2004,7,Frances-Camino de,24798,77.75861528330877
200407,2004,7,Portugues-Camino,2837,8.895926750493869
200407,2004,7,Norte-Camino de,1891,5.9295726066915435
200407,2004,7,Via de la Plata,1384,4.33978238374463
200407,2004,7,Primitivo-Camino,478,1.4988554764667148
200407,2004,7,Ingles-Camino,364,1.1413878523721426
200407,2004,7,Costa Camino Portugues  ,110,0.34492490044213103
200407,2004,7,Otros caminos,29,0.09093474648019817
200408,2004,8,Frances-Camino de,31264,68.55990000219293
200408,2004,8,Via de la Plata,3830,8.39893861976711
200408,2004,8,Primitivo-Camino,3800,8.333150588802877
200408,2004,8,Portugues-Camino,3303,7.24326220916208
200408,2004,8,Norte-Camino de,1962,4.302537225060854
200408,2004,8,Ingles-Camino,1045,2.291616411920791
200408,2004,8,Muxia-Finisterre,247,0.541654788272187
200408,2004,8,Costa Camino Portugues  ,123,0.26973092695335626
200408,2004,8,Otros caminos,27,0.05920922786780992
200409,2004,9,Frances-Camino de,18919,83.153129395218
200409,2004,9,Portugues-Camino,1717,7.546589310829817
200409,2004,9,Via de la Plata,777,3.415084388185654
200409,2004,9,Norte-Camino de,630,2.768987341772152
200409,2004,9,Ingles-Camino,324,1.4240506329113924
200409,2004,9,Primitivo-Camino,303,1.3317510548523206
200409,2004,9,Costa Camino Portugues  ,50,0.21976090014064698
200409,2004,9,Otros caminos,22,0.09669479606188466
200409,2004,9,Muxia-Finisterre,10,0.043952180028129395
200410,2004,10,Frances-Camino de,11964,82.1929101401484
200410,2004,10,Portugues-Camino,1123,7.7150316020884855
200410,2004,10,Via de la Plata,684,4.699093157460841
200410,2004,10,Norte-Camino de,436,2.9953283869194833
200410,2004,10,Primitivo-Camino,203,1.3946139049189337
200410,2004,10,Ingles-Camino,107,0.7350920582577631
200410,2004,10,Costa Camino Portugues  ,25,0.17175048090134654
200410,2004,10,Otros caminos,12,0.08244023083264633
200410,2004,10,Muxia-Finisterre,2,0.013740038472107722
200411,2004,11,Frances-Camino de,3512,79.63718820861678
200411,2004,11,Portugues-Camino,352,7.981859410430839
200411,2004,11,Via de la Plata,180,4.081632653061225
200411,2004,11,Norte-Camino de,146,3.310657596371882
200411,2004,11,Ingles-Camino,98,2.2222222222222223
200411,2004,11,Primitivo-Camino,87,1.9727891156462585
200411,2004,11,Costa Camino Portugues  ,27,0.6122448979591837
200411,2004,11,Muxia-Finisterre,8,0.18140589569160998
200412,2004,12,Frances-Camino de,2649,69.67385586533403
200412,2004,12,Portugues-Camino,568,14.939505523408732
200412,2004,12,Norte-Camino de,206,5.418200946870068
200412,2004,12,Primitivo-Camino,149,3.9189900052603894
200412,2004,12,Ingles-Camino,100,2.6301946344029457
200412,2004,12,Via de la Plata,98,2.577590741714887
200412,2004,12,Costa Camino Portugues  ,20,0.5260389268805892
200412,2004,12,Muxia-Finisterre,12,0.3156233561283535
200501,2005,1,Frances-Camino de,226,84.01486988847584
200501,2005,1,Portugues-Camino,21,7.806691449814126
200501,2005,1,Via de la Plata,9,3.345724907063197
200501,2005,1,Norte-Camino de,8,2.973977695167286
200501,2005,1,Ingles-Camino,3,1.1152416356877324
200501,2005,1,Primitivo-Camino,1,0.37174721189591076
200501,2005,1,Muxia-Finisterre,1,0.37174721189591076
200502,2005,2,Frances-Camino de,478,84.60176991150442
200502,2005,2,Portugues-Camino,54,9.557522123893806
200502,2005,2,Via de la Plata,20,3.5398230088495577
200502,2005,2,Primitivo-Camino,5,0.8849557522123894
200502,2005,2,Norte-Camino de,4,0.7079646017699115
200502,2005,2,Ingles-Camino,3,0.5309734513274337
200502,2005,2,Otros caminos,1,0.17699115044247787
200503,2005,3,Frances-Camino de,2425,77.69945530278757
200503,2005,3,Portugues-Camino,296,9.484139698814483
200503,2005,3,Via de la Plata,129,4.133290611983338
200503,2005,3,Norte-Camino de,118,3.780839474527395
200503,2005,3,Primitivo-Camino,86,2.755527074655559
200503,2005,3,Ingles-Camino,57,1.8263377122717077
200503,2005,3,Costa Camino Portugues  ,5,0.16020506247997437
200503,2005,3,Muxia-Finisterre,3,0.09612303748798462
200503,2005,3,Otros caminos,2,0.06408202499198974
200504,2005,4,Frances-Camino de,2661,80.46567886301784
200504,2005,4,Portugues-Camino,406,12.27698820683399
200504,2005,4,Via de la Plata,148,4.475355306924705
200504,2005,4,Norte-Camino de,41,1.2397943755669791
200504,2005,4,Primitivo-Camino,32,0.9676443906864227
200504,2005,4,Ingles-Camino,16,0.48382219534321136
200504,2005,4,Otros caminos,2,0.06047777441790142
200504,2005,4,Muxia-Finisterre,1,0.03023888720895071
200505,2005,5,Frances-Camino de,7885,84.6938775510204
200505,2005,5,Portugues-Camino,524,5.628356605800215
200505,2005,5,Via de la Plata,493,5.295381310418905
200505,2005,5,Norte-Camino de,248,2.6638023630504835
200505,2005,5,Primitivo-Camino,78,0.8378088077336198
200505,2005,5,Costa Camino Portugues  ,40,0.4296455424274973
200505,2005,5,Ingles-Camino,36,0.3866809881847476
200505,2005,5,Otros caminos,6,0.0644468313641246
200506,2005,6,Frances-Camino de,10997,87.1463665900626
200506,2005,6,Portugues-Camino,590,4.675489341469213
200506,2005,6,Via de la Plata,469,3.7166177985577304
200506,2005,6,Norte-Camino de,376,2.9796338854108884
200506,2005,6,Primitivo-Camino,113,0.8954750772644425
200506,2005,6,Ingles-Camino,45,0.356605119264601
200506,2005,6,Muxia-Finisterre,11,0.08717014026468024
200506,2005,6,Costa Camino Portugues  ,10,0.07924558205880022
200506,2005,6,Otros caminos,8,0.06339646564704018
200507,2005,7,Frances-Camino de,15693,83.45564773452458
200507,2005,7,Norte-Camino de,970,5.158476919804297
200507,2005,7,Portugues-Camino,937,4.982982344182089
200507,2005,7,Via de la Plata,612,3.2546266751754946
200507,2005,7,Primitivo-Camino,311,1.6539034248032334
200507,2005,7,Ingles-Camino,171,0.9093809827696235
200507,2005,7,Muxia-Finisterre,49,0.26058285471176346
200507,2005,7,Otros caminos,36,0.1914486279514997
200507,2005,7,Costa Camino Portugues  ,25,0.13295043607743035
200508,2005,8,Frances-Camino de,20873,84.06024727155571
200508,2005,8,Portugues-Camino,1523,6.133462204502436
200508,2005,8,Norte-Camino de,1251,5.038057267125771
200508,2005,8,Via de la Plata,639,2.573396158028271
200508,2005,8,Primitivo-Camino,349,1.4055011880310901
200508,2005,8,Ingles-Camino,135,0.5436752446538601
200508,2005,8,Otros caminos,28,0.11276227296524506
200508,2005,8,Muxia-Finisterre,27,0.10873504893077202
200508,2005,8,Invierno de Camino,5,0.02013612017236519
200508,2005,8,Costa Camino Portugues  ,1,0.0040272240344730375
200509,2005,9,Frances-Camino de,10548,86.68639053254438
200509,2005,9,Portugues-Camino,576,4.733727810650888
200509,2005,9,Norte-Camino de,487,4.002301117685733
200509,2005,9,Via de la Plata,304,2.498356344510191
200509,2005,9,Primitivo-Camino,161,1.3231426692965154
200509,2005,9,Ingles-Camino,75,0.616370808678501
200509,2005,9,Muxia-Finisterre,9,0.07396449704142012
200509,2005,9,Otros caminos,6,0.04930966469428008
200509,2005,9,Costa Camino Portugues  ,2,0.01643655489809336
200510,2005,10,Frances-Camino de,5980,87.00712934671904
200510,2005,10,Portugues-Camino,395,5.747126436781609
200510,2005,10,Via de la Plata,206,2.997235559435472
200510,2005,10,Norte-Camino de,205,2.9826858722537466
200510,2005,10,Primitivo-Camino,49,0.7129346719045541
200510,2005,10,Ingles-Camino,25,0.3637421795431398
