Anho,Mes,Identificador,TotalRegistros
2004,1,200401,643
2004,2,200402,1401
2004,3,200403,3105
2004,4,200404,15554
2004,5,200405,16860
2004,6,200406,19295
2004,7,200407,31891
2004,8,200408,45601
2004,9,200409,22752
2004,10,200410,14556
2004,11,200411,4410
2004,12,200412,3802
2005,1,200501,269
2005,2,200502,0
2005,3,200503,0
2005,4,200504,0
2005,5,200505,0
2005,6,200506,0
2005,7,200507,0
2005,8,200508,0
2005,9,200509,0
2005,10,200510,0
2005,11,200511,0
2005,12,200512,0
2006,1,200601,0
2006,2,200602,0
2006,3,200603,0
2006,4,200604,0
2006,5,200605,0
2006,6,200606,0
2006,7,200607,0
2006,8,200608,0
2006,9,200609,0
2006,10,200610,0
2006,11,200611,0
2006,12,200612,0
2007,1,200701,0
2007,2,200702,0
2007,3,200703,0
2007,4,200704,0
2007,5,200705,0
2007,6,200706,0
2007,7,200707,0
2007,8,200708,0
2007,9,200709,0
2007,10,200710,0
2007,11,200711,0
2007,12,200712,0
2008,1,200801,0
2008,2,200802,0
2008,3,200803,0
2008,4,200804,0
2008,5,200805,0
2008,6,200806,0
2008,7,200807,0
2008,8,200808,0
2008,9,200809,0
2008,10,200810,0
2008,11,200811,0
2008,12,200812,0
2009,1,200901,0
2009,2,200902,0
2009,3,200903,0
2009,4,200904,0
2009,5,200905,0
2009,6,200906,0
2009,7,200907,0
2009,8,200908,0
2009,9,200909,0
2009,10,200910,0
2009,11,200911,0
2009,12,200912,0
2010,1,201001,0
2010,2,201002,0
2010,3,201003,0
2010,4,201004,0
2010,5,201005,0
2010,6,201006,0
2010,7,201007,0
2010,8,201008,0
2010,9,201009,0
2010,10,201010,0
2010,11,201011,0
2010,12,201012,0
2011,1,201101,644
2011,2,201102,0
2011,3,201103,0
2011,4,201104,0
2011,5,201105,0
2011,6,201106,0
2011,7,201107,0
2011,8,201108,0
2011,9,201109,0
2011,10,201110,0
2011,11,201111,0
2011,12,201112,0
2012,1,201201,0
2012,2,201202,0
2012,3,201203,0
2012,4,201204,0
2012,5,201205,0
2012,6,201206,0
2012,7,201207,0
2012,8,201208,0
2012,9,201209,0
2012,10,201210,0
2012,11,201211,0
2012,12,201212,0
2013,1,201301,0
2013,2,201302,0
2013,3,201303,0
2013,4,201304,0
2013,5,201305,0
2013,6,201306,0
2013,7,201307,0
2013,8,201308,0
2013,9,201309,0
2013,10,201310,0
2013,11,201311,0
2013,12,201312,0
2014,1,201401,0
2014,2,201402,0
2014,3,201403,0
2014,4,201404,0
2014,5,201405,0
2014,6,201406,0
2014,7,201407,0
2014,8,201408,0
2014,9,201409,0
2014,10,201410,0
2014,11,201411,0
2014,12,201412,0
2015,1,201501,0
2015,2,201502,0
2015,3,201503,0
2015,4,201504,0
2015,5,201505,0
2015,6,201506,0
2015,7,201507,0
2015,8,201508,0
2015,9,201509,0
2015,10,201510,0
2015,11,201511,0
2015,12,201512,0
2016,1,201601,0
2016,2,201602,0
2016,3,201603,0
2016,4,201604,0
2016,5,201605,0
2016,6,201606,0
2016,7,201607,0
2016,8,201608,0
2016,9,201609,0
2016,10,201610,0
2016,11,201611,0
2016,12,201612,0
2017,1,201701,0
2017,2,201702,0
2017,3,201703,0
2017,4,201704,0
2017,5,201705,0
2017,6,201706,0
2017,7,201707,0
2017,8,201708,0
2017,9,201709,42189
2017,10,201710,0
2017,11,201711,0
2017,12,201712,0
2018,1,201801,1627
2018,2,201802,2181
2018,3,201803,11056
2018,4,201804,22068
2018,5,201805,40665
2018,6,201806,45685
2018,7,201807,50867
2018,8,201808,60415
2018,9,201809,47006
2018,10,201810,35602
2018,11,201811,7651
2018,12,201812,2553
2019,1,201901,1651
2019,2,201902,2119
2019,3,201903,7474
2019,4,201904,31721
2019,5,201905,46672
2019,6,201906,49057
2019,7,201907,53319
2019,8,201908,62814
2019,9,201909,45649
2019,10,201910,36115
2019,11,201911,8237
2019,12,201912,2710
2020,1,202001,1999
2020,2,202002,3076
2020,3,202003,1710
2020,4,202004,0
2020,5,202005,0
2020,6,202006,12
2020,7,202007,9752
2020,8,202008,19812
2020,9,202009,10441
2020,10,202010,6418
2020,11,202011,586
2020,12,202012,99
2021,1,202101,60
2021,2,202102,14
2021,3,202103,194
2021,4,202104,1024
2021,5,202105,4295
2021,6,202106,14824
2021,7,202107,33963
2021,8,202108,43575
2021,9,202109,37463
2021,10,202110,31170
2021,11,202111,9094
2021,12,202112,1193
2022,1,202201,1617
2022,2,202202,2034
2022,3,202203,7389
2022,4,202204,34283
2022,5,202205,48254
2022,6,202206,58012
2022,7,202207,67374
2022,8,202208,85842
2022,9,202209,66196
2022,10,202210,51356
