ID,Year,Month,Total
200401,2004,1,643
200402,2004,2,1401
200403,2004,3,3105
200404,2004,4,15554
200405,2004,5,16860
200406,2004,6,19295
200407,2004,7,31891
200408,2004,8,45601
200409,2004,9,22752
200410,2004,10,14556
200411,2004,11,4410
200412,2004,12,3802
200501,2005,1,269
200502,2005,2,565
200503,2005,3,3121
200504,2005,4,3307
200505,2005,5,9310
200506,2005,6,12619
200507,2005,7,18804
200508,2005,8,24831
200509,2005,9,12168
200510,2005,10,6873
200511,2005,11,1388
200512,2005,12,668
200601,2006,1,324
200602,2006,2,351
200603,2006,3,1096
200604,2006,4,7451
200605,2006,5,10147
200606,2006,6,13011
200607,2006,7,18720
200608,2006,8,26183
200609,2006,9,13470
200610,2006,10,7700
200611,2006,11,1755
200612,2006,12,848
200701,2007,1,350
200702,2007,2,665
200703,2007,3,1680
200704,2007,4,8115
200705,2007,5,12924
200706,2007,6,15182
200707,2007,7,20156
200708,2007,8,27289
200709,2007,9,15282
200710,2007,10,9443
200711,2007,11,2496
200712,2007,12,795
200801,2008,1,306
200802,2008,2,703
200803,2008,3,5327
200804,2008,4,5648
200805,2008,5,16001
200806,2008,6,15904
200807,2008,7,21066
200808,2008,8,29996
200809,2008,9,17378
200810,2008,10,9878
200811,2008,11,2309
200812,2008,12,1085
200901,2009,1,523
200902,2009,2,698
200903,2009,3,1850
200904,2009,4,10316
200905,2009,5,16498
200906,2009,6,19354
200907,2009,7,26752
200908,2009,8,35546
200909,2009,9,20623
200910,2009,10,11731
200911,2009,11,2353
200912,2009,12,1010
201001,2010,1,1188
201002,2010,2,1640
201003,2010,3,5883
201004,2010,4,19587
201005,2010,5,28846
201006,2010,6,33756
201007,2010,7,42466
201008,2010,8,61534
201009,2010,9,36848
201010,2010,10,26598
201011,2010,11,8075
201012,2010,12,5967
201101,2011,1,644
201102,2011,2,820
201103,2011,3,3023
201104,2011,4,14154
201105,2011,5,19805
201106,2011,6,25239
201107,2011,7,30842
201108,2011,8,41489
201109,2011,9,26023
201110,2011,10,16243
201111,2011,11,3591
201112,2011,12,1498
201201,2012,1,872
201202,2012,2,1305
201203,2012,3,3260
201204,2012,4,14749
201205,2012,5,21776
201206,2012,6,25517
201207,2012,7,32818
201208,2012,8,41096
201209,2012,9,27321
201210,2012,10,18091
201211,2012,11,4170
201212,2012,12,1483
201301,2013,1,806
201302,2013,2,1382
201303,2013,3,7228
201304,2013,4,11532
201305,2013,5,25205
201306,2013,6,29374
201307,2013,7,36559
201308,2013,8,46726
201309,2013,9,30894
201310,2013,10,19607
201311,2013,11,4907
201312,2013,12,1659
201401,2014,1,906
201402,2014,2,970
201403,2014,3,3150
201404,2014,4,17347
201405,2014,5,27354
201406,2014,6,33021
201407,2014,7,39581
201408,2014,8,51218
201409,2014,9,34457
201410,2014,10,23205
201411,2014,11,4803
201412,2014,12,1870
201501,2015,1,1217
201502,2015,2,1544
201503,2015,3,5080
201504,2015,4,17721
201505,2015,5,31076
201506,2015,6,35923
201507,2015,7,44794
201508,2015,8,54794
201509,2015,9,37429
201510,2015,10,25576
201511,2015,11,5228
201512,2015,12,2062
201601,2016,1,1304
201602,2016,2,1733
201603,2016,3,11067
201604,2016,4,15100
201605,2016,5,32776
201606,2016,6,39070
201607,2016,7,45471
201608,2016,8,53704
201609,2016,9,40149
201610,2016,10,28222
201611,2016,11,6394
201612,2016,12,2864
201701,2017,1,1354
201702,2017,2,1696
201703,2017,3,5176
201704,2017,4,26925
201705,2017,5,35347
201706,2017,6,41619
201707,2017,7,47470
201708,2017,8,57680
201709,2017,9,42189
201710,2017,10,31341
201711,2017,11,7346
201712,2017,12,2893
201801,2018,1,1627
201802,2018,2,2181
201803,2018,3,11056
201804,2018,4,22068
201805,2018,5,40665
201806,2018,6,45685
201807,2018,7,50867
201808,2018,8,60415
201809,2018,9,47006
201810,2018,10,35602
201811,2018,11,7651
201812,2018,12,2553
201901,2019,1,1651
201902,2019,2,2119
201903,2019,3,7474
201904,2019,4,31722
201905,2019,5,46673
201906,2019,6,49058
201907,2019,7,53319
201908,2019,8,62814
201909,2019,9,45653
201910,2019,10,36118
201911,2019,11,8274
201912,2019,12,2710
202001,2020,1,2001
202002,2020,2,3076
202003,2020,3,1948
202006,2020,6,12
202007,2020,7,9752
202008,2020,8,19812
202009,2020,9,10441
202010,2020,10,6418
202011,2020,11,585
202012,2020,12,99
202101,2021,1,60
202102,2021,2,14
202103,2021,3,194
202104,2021,4,1024
202105,2021,5,4295
202106,2021,6,14824
202107,2021,7,33963
202108,2021,8,43575
202109,2021,9,37463
202110,2021,10,31170
202111,2021,11,9094
202112,2021,12,1193
202201,2022,1,1617
202202,2022,2,2034
202203,2022,3,7389
202204,2022,4,34283
202205,2022,5,48254
202206,2022,6,58012
202207,2022,7,67374
202208,2022,8,85842
202209,2022,9,66196
202210,2022,10,51356
